Target_Activity,TestActivity,mode,Threshold,K,Count
sphereActivity,sphereActivity,markov,0.5,5,76
sphereActivity,sphereActivity,markov,0.5,6,76
sphereActivity,sphereActivity,markov,0.5,7,76
sphereActivity,sphereActivity,markov,0.5,8,76
sphereActivity,sphereActivity,markov,0.5,9,76
sphereActivity,sphereActivity,markov,0.5,10,76
sphereActivity,sphereActivity,markov,0.6,5,75
sphereActivity,sphereActivity,markov,0.6,6,75
sphereActivity,sphereActivity,markov,0.6,7,75
sphereActivity,sphereActivity,markov,0.6,8,75
sphereActivity,sphereActivity,markov,0.6,9,75
sphereActivity,sphereActivity,markov,0.6,10,75
sphereActivity,sphereActivity,markov,0.7,5,74
sphereActivity,sphereActivity,markov,0.7,6,74
sphereActivity,sphereActivity,markov,0.7,7,74
sphereActivity,sphereActivity,markov,0.7,8,74
sphereActivity,sphereActivity,markov,0.7,9,74
sphereActivity,sphereActivity,markov,0.7,10,74
sphereActivity,ladderActivity,markov,0.5,5,33
sphereActivity,ladderActivity,markov,0.5,6,33
sphereActivity,ladderActivity,markov,0.5,7,33
sphereActivity,ladderActivity,markov,0.5,8,33
sphereActivity,ladderActivity,markov,0.5,9,33
sphereActivity,ladderActivity,markov,0.5,10,33
sphereActivity,ladderActivity,markov,0.6,5,30
sphereActivity,ladderActivity,markov,0.6,6,30
sphereActivity,ladderActivity,markov,0.6,7,30
sphereActivity,ladderActivity,markov,0.6,8,30
sphereActivity,ladderActivity,markov,0.6,9,30
sphereActivity,ladderActivity,markov,0.6,10,30
sphereActivity,ladderActivity,markov,0.7,5,23
sphereActivity,ladderActivity,markov,0.7,6,23
sphereActivity,ladderActivity,markov,0.7,7,23
sphereActivity,ladderActivity,markov,0.7,8,23
sphereActivity,ladderActivity,markov,0.7,9,23
sphereActivity,ladderActivity,markov,0.7,10,23
ladderActivity,sphereActivity,markov,0.5,5,76
ladderActivity,sphereActivity,markov,0.5,6,76
ladderActivity,sphereActivity,markov,0.5,7,76
ladderActivity,sphereActivity,markov,0.5,8,76
ladderActivity,sphereActivity,markov,0.5,9,76
ladderActivity,sphereActivity,markov,0.5,10,76
ladderActivity,sphereActivity,markov,0.6,5,75
ladderActivity,sphereActivity,markov,0.6,6,75
ladderActivity,sphereActivity,markov,0.6,7,75
ladderActivity,sphereActivity,markov,0.6,8,75
ladderActivity,sphereActivity,markov,0.6,9,75
ladderActivity,sphereActivity,markov,0.6,10,75
ladderActivity,sphereActivity,markov,0.7,5,74
ladderActivity,sphereActivity,markov,0.7,6,74
ladderActivity,sphereActivity,markov,0.7,7,74
ladderActivity,sphereActivity,markov,0.7,8,74
ladderActivity,sphereActivity,markov,0.7,9,74
ladderActivity,sphereActivity,markov,0.7,10,74
ladderActivity,ladderActivity,markov,0.5,5,33
ladderActivity,ladderActivity,markov,0.5,6,33
ladderActivity,ladderActivity,markov,0.5,7,33
ladderActivity,ladderActivity,markov,0.5,8,33
ladderActivity,ladderActivity,markov,0.5,9,33
ladderActivity,ladderActivity,markov,0.5,10,33
ladderActivity,ladderActivity,markov,0.6,5,30
ladderActivity,ladderActivity,markov,0.6,6,30
ladderActivity,ladderActivity,markov,0.6,7,30
ladderActivity,ladderActivity,markov,0.6,8,30
ladderActivity,ladderActivity,markov,0.6,9,30
ladderActivity,ladderActivity,markov,0.6,10,30
ladderActivity,ladderActivity,markov,0.7,5,23
ladderActivity,ladderActivity,markov,0.7,6,23
ladderActivity,ladderActivity,markov,0.7,7,23
ladderActivity,ladderActivity,markov,0.7,8,23
ladderActivity,ladderActivity,markov,0.7,9,23
ladderActivity,ladderActivity,markov,0.7,10,23
sphereActivity,sphereActivity,markov,0.5,5,0
sphereActivity,sphereActivity,markov,0.5,6,0
sphereActivity,sphereActivity,markov,0.5,7,0
sphereActivity,sphereActivity,markov,0.5,8,0
sphereActivity,sphereActivity,markov,0.5,9,0
sphereActivity,sphereActivity,markov,0.5,10,0
sphereActivity,sphereActivity,markov,0.6,5,0
sphereActivity,sphereActivity,markov,0.6,6,0
sphereActivity,sphereActivity,markov,0.6,7,0
sphereActivity,sphereActivity,markov,0.6,8,0
sphereActivity,sphereActivity,markov,0.6,9,0
sphereActivity,sphereActivity,markov,0.6,10,0
sphereActivity,sphereActivity,markov,0.7,5,0
sphereActivity,sphereActivity,markov,0.7,6,0
sphereActivity,sphereActivity,markov,0.7,7,0
sphereActivity,sphereActivity,markov,0.7,8,0
sphereActivity,sphereActivity,markov,0.7,9,0
sphereActivity,sphereActivity,markov,0.7,10,0
sphereActivity,ladderActivity,markov,0.5,5,0
sphereActivity,ladderActivity,markov,0.5,6,0
sphereActivity,ladderActivity,markov,0.5,7,0
sphereActivity,ladderActivity,markov,0.5,8,0
sphereActivity,ladderActivity,markov,0.5,9,0
sphereActivity,ladderActivity,markov,0.5,10,0
sphereActivity,ladderActivity,markov,0.6,5,0
sphereActivity,ladderActivity,markov,0.6,6,0
sphereActivity,ladderActivity,markov,0.6,7,0
sphereActivity,ladderActivity,markov,0.6,8,0
sphereActivity,ladderActivity,markov,0.6,9,0
sphereActivity,ladderActivity,markov,0.6,10,0
sphereActivity,ladderActivity,markov,0.7,5,0
sphereActivity,ladderActivity,markov,0.7,6,0
sphereActivity,ladderActivity,markov,0.7,7,0
sphereActivity,ladderActivity,markov,0.7,8,0
sphereActivity,ladderActivity,markov,0.7,9,0
sphereActivity,ladderActivity,markov,0.7,10,0
ladderActivity,sphereActivity,markov,0.5,5,0
ladderActivity,sphereActivity,markov,0.5,6,0
ladderActivity,sphereActivity,markov,0.5,7,0
ladderActivity,sphereActivity,markov,0.5,8,0
ladderActivity,sphereActivity,markov,0.5,9,0
ladderActivity,sphereActivity,markov,0.5,10,0
ladderActivity,sphereActivity,markov,0.6,5,0
ladderActivity,sphereActivity,markov,0.6,6,0
ladderActivity,sphereActivity,markov,0.6,7,0
ladderActivity,sphereActivity,markov,0.6,8,0
ladderActivity,sphereActivity,markov,0.6,9,0
ladderActivity,sphereActivity,markov,0.6,10,0
ladderActivity,sphereActivity,markov,0.7,5,0
ladderActivity,sphereActivity,markov,0.7,6,0
ladderActivity,sphereActivity,markov,0.7,7,0
ladderActivity,sphereActivity,markov,0.7,8,0
ladderActivity,sphereActivity,markov,0.7,9,0
ladderActivity,sphereActivity,markov,0.7,10,0
ladderActivity,ladderActivity,markov,0.5,5,0
ladderActivity,ladderActivity,markov,0.5,6,0
ladderActivity,ladderActivity,markov,0.5,7,0
ladderActivity,ladderActivity,markov,0.5,8,0
ladderActivity,ladderActivity,markov,0.5,9,0
ladderActivity,ladderActivity,markov,0.5,10,0
ladderActivity,ladderActivity,markov,0.6,5,0
ladderActivity,ladderActivity,markov,0.6,6,0
ladderActivity,ladderActivity,markov,0.6,7,0
ladderActivity,ladderActivity,markov,0.6,8,0
ladderActivity,ladderActivity,markov,0.6,9,0
ladderActivity,ladderActivity,markov,0.6,10,0
ladderActivity,ladderActivity,markov,0.7,5,0
ladderActivity,ladderActivity,markov,0.7,6,0
ladderActivity,ladderActivity,markov,0.7,7,0
ladderActivity,ladderActivity,markov,0.7,8,0
ladderActivity,ladderActivity,markov,0.7,9,0
ladderActivity,ladderActivity,markov,0.7,10,0
