Target_Activity,TestActivity,mode,GhostRatio,Actual,Count
sphereActivity,sphereActivity,suffix_tree,0.0,0,0
sphereActivity,sphereActivity,suffix_tree,0.0,1,0
sphereActivity,sphereActivity,suffix_tree,0.1,0,0
sphereActivity,sphereActivity,suffix_tree,0.1,1,0
sphereActivity,sphereActivity,suffix_tree,0.2,0,0
sphereActivity,sphereActivity,suffix_tree,0.2,1,0
sphereActivity,sphereActivity,suffix_tree,0.3,0,0
sphereActivity,sphereActivity,suffix_tree,0.3,1,0
sphereActivity,sphereActivity,suffix_tree,0.4,0,0
sphereActivity,sphereActivity,suffix_tree,0.4,1,0
sphereActivity,sphereActivity,suffix_tree,0.5,0,0
sphereActivity,sphereActivity,suffix_tree,0.5,1,0
sphereActivity,sphereActivity,suffix_tree,0.6,0,0
sphereActivity,sphereActivity,suffix_tree,0.6,1,0
sphereActivity,sphereActivity,suffix_tree,0.7,0,0
sphereActivity,sphereActivity,suffix_tree,0.7,1,0
sphereActivity,sphereActivity,suffix_tree,0.8,0,0
sphereActivity,sphereActivity,suffix_tree,0.8,1,0
sphereActivity,sphereActivity,suffix_tree,0.9,0,0
sphereActivity,sphereActivity,suffix_tree,0.9,1,0
sphereActivity,sphereActivity,suffix_tree,1.0,0,0
sphereActivity,sphereActivity,suffix_tree,1.0,1,0
sphereActivity,ladderActivity,suffix_tree,0.0,0,0
sphereActivity,ladderActivity,suffix_tree,0.0,1,0
sphereActivity,ladderActivity,suffix_tree,0.1,0,0
sphereActivity,ladderActivity,suffix_tree,0.1,1,0
sphereActivity,ladderActivity,suffix_tree,0.2,0,0
sphereActivity,ladderActivity,suffix_tree,0.2,1,0
sphereActivity,ladderActivity,suffix_tree,0.3,0,0
sphereActivity,ladderActivity,suffix_tree,0.3,1,0
sphereActivity,ladderActivity,suffix_tree,0.4,0,0
sphereActivity,ladderActivity,suffix_tree,0.4,1,0
sphereActivity,ladderActivity,suffix_tree,0.5,0,0
sphereActivity,ladderActivity,suffix_tree,0.5,1,0
sphereActivity,ladderActivity,suffix_tree,0.6,0,0
sphereActivity,ladderActivity,suffix_tree,0.6,1,0
sphereActivity,ladderActivity,suffix_tree,0.7,0,0
sphereActivity,ladderActivity,suffix_tree,0.7,1,0
sphereActivity,ladderActivity,suffix_tree,0.8,0,0
sphereActivity,ladderActivity,suffix_tree,0.8,1,0
sphereActivity,ladderActivity,suffix_tree,0.9,0,0
sphereActivity,ladderActivity,suffix_tree,0.9,1,0
sphereActivity,ladderActivity,suffix_tree,1.0,0,0
sphereActivity,ladderActivity,suffix_tree,1.0,1,0
ladderActivity,sphereActivity,suffix_tree,0.0,0,0
ladderActivity,sphereActivity,suffix_tree,0.0,1,0
ladderActivity,sphereActivity,suffix_tree,0.1,0,0
ladderActivity,sphereActivity,suffix_tree,0.1,1,0
ladderActivity,sphereActivity,suffix_tree,0.2,0,0
ladderActivity,sphereActivity,suffix_tree,0.2,1,0
ladderActivity,sphereActivity,suffix_tree,0.3,0,0
ladderActivity,sphereActivity,suffix_tree,0.3,1,0
ladderActivity,sphereActivity,suffix_tree,0.4,0,0
