Target_Activity,TestActivity,mode,Threshold,K,N,GhostCount,L,pmin,gamma_min,eps_suffix,Predict,Actual,Matched,GhostRatio
sphereActivity,sphereActivity,markov,0.5,5,8,1,,,,,1,1,True,0.125
sphereActivity,sphereActivity,markov,0.5,5,6,3,,,,,1,1,True,0.5
sphereActivity,sphereActivity,markov,0.5,5,7,1,,,,,1,1,True,0.1428571428571428
sphereActivity,sphereActivity,markov,0.5,5,9,2,,,,,1,1,True,0.2222222222222222
sphereActivity,sphereActivity,markov,0.5,5,8,4,,,,,1,1,True,0.5
sphereActivity,sphereActivity,markov,0.5,5,3,1,,,,,1,1,True,0.3333333333333333
sphereActivity,sphereActivity,markov,0.5,5,1,0,,,,,0,1,False,0.0
sphereActivity,sphereActivity,markov,0.5,5,14,3,,,,,1,1,True,0.2142857142857142
sphereActivity,sphereActivity,markov,0.5,5,7,1,,,,,1,1,True,0.1428571428571428
sphereActivity,sphereActivity,markov,0.5,5,10,2,,,,,1,1,True,0.2
sphereActivity,sphereActivity,markov,0.5,6,8,0,,,,,0,1,False,0.0
sphereActivity,sphereActivity,markov,0.5,6,6,0,,,,,1,1,True,0.0
sphereActivity,sphereActivity,markov,0.5,6,7,1,,,,,1,1,True,0.1428571428571428
sphereActivity,sphereActivity,markov,0.5,6,9,1,,,,,1,1,True,0.1111111111111111
sphereActivity,sphereActivity,markov,0.5,6,8,3,,,,,1,1,True,0.375
sphereActivity,sphereActivity,markov,0.5,6,3,1,,,,,1,1,True,0.3333333333333333
sphereActivity,sphereActivity,markov,0.5,6,1,1,,,,,0,1,False,1.0
sphereActivity,sphereActivity,markov,0.5,6,14,2,,,,,1,1,True,0.1428571428571428
sphereActivity,sphereActivity,markov,0.5,6,7,0,,,,,0,1,False,0.0
sphereActivity,sphereActivity,markov,0.5,6,10,3,,,,,1,1,True,0.3
sphereActivity,sphereActivity,markov,0.5,7,8,3,,,,,1,1,True,0.375
sphereActivity,sphereActivity,markov,0.5,7,6,3,,,,,1,1,True,0.5
sphereActivity,sphereActivity,markov,0.5,7,7,2,,,,,1,1,True,0.2857142857142857
sphereActivity,sphereActivity,markov,0.5,7,9,4,,,,,1,1,True,0.4444444444444444
sphereActivity,sphereActivity,markov,0.5,7,8,3,,,,,0,1,False,0.375
sphereActivity,sphereActivity,markov,0.5,7,3,1,,,,,1,1,True,0.3333333333333333
sphereActivity,sphereActivity,markov,0.5,7,1,0,,,,,0,1,False,0.0
sphereActivity,sphereActivity,markov,0.5,7,14,3,,,,,0,1,False,0.2142857142857142
sphereActivity,sphereActivity,markov,0.5,7,7,2,,,,,1,1,True,0.2857142857142857
sphereActivity,sphereActivity,markov,0.5,7,10,2,,,,,0,1,False,0.2
sphereActivity,sphereActivity,markov,0.5,8,8,0,,,,,0,1,False,0.0
sphereActivity,sphereActivity,markov,0.5,8,6,0,,,,,1,1,True,0.0
sphereActivity,sphereActivity,markov,0.5,8,7,1,,,,,0,1,False,0.1428571428571428
sphereActivity,sphereActivity,markov,0.5,8,9,1,,,,,1,1,True,0.1111111111111111
sphereActivity,sphereActivity,markov,0.5,8,8,4,,,,,0,1,False,0.5
sphereActivity,sphereActivity,markov,0.5,8,3,1,,,,,1,1,True,0.3333333333333333
sphereActivity,sphereActivity,markov,0.5,8,1,1,,,,,0,1,False,1.0
sphereActivity,sphereActivity,markov,0.5,8,14,3,,,,,1,1,True,0.2142857142857142
sphereActivity,sphereActivity,markov,0.5,8,7,1,,,,,0,1,False,0.1428571428571428
sphereActivity,sphereActivity,markov,0.5,8,10,1,,,,,1,1,True,0.1
sphereActivity,sphereActivity,markov,0.5,9,8,1,,,,,0,1,False,0.125
sphereActivity,sphereActivity,markov,0.5,9,6,0,,,,,1,1,True,0.0
sphereActivity,sphereActivity,markov,0.5,9,7,1,,,,,0,1,False,0.1428571428571428
sphereActivity,sphereActivity,markov,0.5,9,9,0,,,,,0,1,False,0.0
sphereActivity,sphereActivity,markov,0.5,9,8,3,,,,,1,1,True,0.375
sphereActivity,sphereActivity,markov,0.5,9,3,1,,,,,1,1,True,0.3333333333333333
sphereActivity,sphereActivity,markov,0.5,9,1,0,,,,,0,1,False,0.0
sphereActivity,sphereActivity,markov,0.5,9,14,6,,,,,0,1,False,0.4285714285714285
sphereActivity,sphereActivity,markov,0.5,9,7,0,,,,,0,1,False,0.0
sphereActivity,sphereActivity,markov,0.5,9,10,4,,,,,1,1,True,0.4
sphereActivity,sphereActivity,markov,0.5,10,8,2,,,,,1,1,True,0.25
sphereActivity,sphereActivity,markov,0.5,10,6,0,,,,,1,1,True,0.0
sphereActivity,sphereActivity,markov,0.5,10,7,1,,,,,0,1,False,0.1428571428571428
sphereActivity,sphereActivity,markov,0.5,10,9,1,,,,,1,1,True,0.1111111111111111
sphereActivity,sphereActivity,markov,0.5,10,8,3,,,,,1,1,True,0.375
sphereActivity,sphereActivity,markov,0.5,10,3,1,,,,,1,1,True,0.3333333333333333
sphereActivity,sphereActivity,markov,0.5,10,1,0,,,,,0,1,False,0.0
sphereActivity,sphereActivity,markov,0.5,10,14,4,,,,,1,1,True,0.2857142857142857
sphereActivity,sphereActivity,markov,0.5,10,7,1,,,,,0,1,False,0.1428571428571428
sphereActivity,sphereActivity,markov,0.5,10,10,3,,,,,0,1,False,0.3
