Index,Timestamp,Activity,LogNumber,HeadPosX,HeadPosY,HeadPosZ,HeadRotX,HeadRotY,HeadRotZ,RightPosX,RightPosY,RightPosZ,RightRotX,RightRotY,RightRotZ,LeftPosX,LeftPosY,LeftPosZ,LeftRotX,LeftRotY,LeftRotZ
1,1753452932.1593,defaultActivity,0,-1.689875,1.705355,-0.439489,353.854800,111.009900,359.120000,-1.580100,1.192085,-0.510030,307.938800,97.106110,339.769800,-1.565619,1.103341,-0.428102,306.398600,105.958100,14.435210
2,1753452932.1867,defaultActivity,0,-1.690311,1.705442,-0.439510,353.833700,110.908800,359.118300,-1.580153,1.192017,-0.509837,307.920700,97.026500,339.822700,-1.566018,1.103301,-0.427883,306.394800,106.105500,14.312060
3,1753452932.1880,defaultActivity,0,-1.690311,1.705442,-0.439510,353.833700,110.908800,359.118300,-1.580153,1.192017,-0.509837,307.920700,97.026500,339.822700,-1.566018,1.103301,-0.427883,306.394800,106.105500,14.312060
4,1753452932.2354,defaultActivity,0,-1.690456,1.705149,-0.439725,354.002100,110.454400,359.098300,-1.580211,1.192077,-0.509655,307.926300,97.041990,339.730400,-1.566283,1.103105,-0.427286,306.452800,106.263100,14.082990
5,1753452932.2365,defaultActivity,0,-1.690456,1.705149,-0.439725,354.002100,110.454400,359.098300,-1.580211,1.192077,-0.509655,307.926300,97.041990,339.730400,-1.566283,1.103105,-0.427286,306.452800,106.263100,14.082990
6,1753452932.2738,defaultActivity,0,-1.690025,1.705118,-0.439740,354.006800,110.270900,359.045100,-1.580227,1.192141,-0.509694,307.895600,97.115330,339.651100,-1.566255,1.103087,-0.426994,306.487500,106.336400,13.982210
7,1753452932.2750,defaultActivity,0,-1.690025,1.705118,-0.439740,354.006800,110.270900,359.045100,-1.580227,1.192141,-0.509694,307.895600,97.115330,339.651100,-1.566255,1.103087,-0.426994,306.487500,106.336400,13.982210
8,1753452932.3048,defaultActivity,0,-1.689313,1.704900,-0.439781,354.119700,110.044600,359.020400,-1.580197,1.192029,-0.509886,307.903300,97.169410,339.583000,-1.566176,1.103019,-0.426835,306.495600,106.423400,13.873770
9,1753452932.3060,defaultActivity,0,-1.689313,1.704900,-0.439781,354.119700,110.044600,359.020400,-1.580197,1.192029,-0.509886,307.903300,97.169410,339.583000,-1.566176,1.103019,-0.426835,306.495600,106.423400,13.873770
10,1753452932.3412,defaultActivity,0,-1.687977,1.704931,-0.439831,354.154100,109.672900,359.018100,-1.580060,1.191511,-0.510329,308.042900,97.260890,339.547700,-1.566065,1.102866,-0.426891,306.596000,106.487300,13.827640
11,1753452932.3425,defaultActivity,0,-1.687977,1.704931,-0.439831,354.154100,109.672900,359.018100,-1.580060,1.191511,-0.510329,308.042900,97.260890,339.547700,-1.566065,1.102866,-0.426891,306.596000,106.487300,13.827640
12,1753452932.3750,defaultActivity,0,-1.686507,1.705326,-0.439551,354.179300,109.326000,359.033000,-1.579748,1.190910,-0.510945,308.075900,97.476040,339.500700,-1.565894,1.102743,-0.427166,306.650200,106.641500,13.741060
13,1753452932.4123,defaultActivity,0,-1.684718,1.705042,-0.439827,354.019500,109.018500,359.108600,-1.579069,1.190071,-0.511839,308.367300,97.857830,339.262600,-1.565444,1.102582,-0.427559,306.670300,106.838600,13.617890
14,1753452932.4136,defaultActivity,0,-1.684718,1.705042,-0.439827,354.019500,109.018500,359.108600,-1.579069,1.190071,-0.511839,308.367300,97.857830,339.262600,-1.565444,1.102582,-0.427559,306.670300,106.838600,13.617890
15,1753452932.4477,defaultActivity,0,-1.683330,1.704777,-0.439697,354.381300,108.829000,359.270900,-1.578286,1.189522,-0.512754,308.522400,97.982060,339.147400,-1.564874,1.102543,-0.427998,306.748200,106.833200,13.672080
16,1753452932.4493,defaultActivity,0,-1.683330,1.704777,-0.439697,354.381300,108.829000,359.270900,-1.578286,1.189522,-0.512754,308.522400,97.982060,339.147400,-1.564874,1.102543,-0.427998,306.748200,106.833200,13.672080
17,1753452932.4835,defaultActivity,0,-1.681078,1.704338,-0.439576,354.619900,108.408100,359.382200,-1.576713,1.189040,-0.514776,308.543700,98.183930,339.673200,-1.564034,1.102537,-0.428563,306.761300,106.964100,13.603750
18,1753452932.4847,defaultActivity,0,-1.681078,1.704338,-0.439576,354.619900,108.408100,359.382200,-1.576713,1.189040,-0.514776,308.543700,98.183930,339.673200,-1.564034,1.102537,-0.428563,306.761300,106.964100,13.603750
19,1753452932.5203,defaultActivity,0,-1.679065,1.704816,-0.439104,354.713800,108.116600,359.484400,-1.575052,1.189339,-0.516952,308.670300,98.842790,339.250200,-1.562830,1.102529,-0.429183,306.803000,107.154600,13.511140
20,1753452932.5217,defaultActivity,0,-1.679065,1.704816,-0.439104,354.713800,108.116600,359.484400,-1.575052,1.189339,-0.516952,308.670300,98.842790,339.250200,-1.562830,1.102529,-0.429183,306.803000,107.154600,13.511140
21,1753452932.5607,defaultActivity,0,-1.677035,1.705556,-0.437892,354.142800,107.791900,0.063500,-1.573395,1.189578,-0.519223,308.546800,99.162020,339.407900,-1.561579,1.102504,-0.429788,306.883000,107.148100,13.606170
22,1753452932.5620,defaultActivity,0,-1.677035,1.705556,-0.437892,354.142800,107.791900,0.063500,-1.573395,1.189578,-0.519223,308.546800,99.162020,339.407900,-1.561579,1.102504,-0.429788,306.883000,107.148100,13.606170
23,1753452932.6013,defaultActivity,0,-1.675023,1.707481,-0.436824,353.274800,107.131500,0.283293,-1.571468,1.189245,-0.521644,308.501800,99.937070,339.288000,-1.560303,1.102051,-0.430578,307.001100,107.289200,13.422700
24,1753452932.6025,defaultActivity,0,-1.675023,1.707481,-0.436824,353.274800,107.131500,0.283293,-1.571468,1.189245,-0.521644,308.501800,99.937070,339.288000,-1.560303,1.102051,-0.430578,307.001100,107.289200,13.422700
25,1753452932.6422,defaultActivity,0,-1.673860,1.708889,-0.435462,352.179000,106.551200,0.627149,-1.569831,1.188681,-0.524105,308.735400,100.265400,339.274000,-1.559034,1.101358,-0.431515,307.330400,107.435000,13.581020
26,1753452932.6435,defaultActivity,0,-1.673860,1.708889,-0.435462,352.179000,106.551200,0.627149,-1.569831,1.188681,-0.524105,308.735400,100.265400,339.274000,-1.559034,1.101358,-0.431515,307.330400,107.435000,13.581020
27,1753452932.6785,defaultActivity,0,-1.672621,1.710332,-0.433734,351.325800,106.103800,0.712318,-1.568558,1.187680,-0.525599,309.014600,100.268400,339.702900,-1.558326,1.100863,-0.432272,307.587500,107.709700,13.588580
28,1753452932.7155,defaultActivity,0,-1.671676,1.712835,-0.431638,349.801400,105.279800,1.054395,-1.567293,1.186963,-0.527333,309.153600,100.472700,339.983700,-1.557379,1.100154,-0.433177,307.685000,108.126200,13.486930
29,1753452932.7165,defaultActivity,0,-1.671676,1.712835,-0.431638,349.801400,105.279800,1.054395,-1.567293,1.186963,-0.527333,309.153600,100.472700,339.983700,-1.557379,1.100154,-0.433177,307.685000,108.126200,13.486930
30,1753452932.7515,defaultActivity,0,-1.671343,1.712934,-0.430737,349.179500,104.988900,1.207201,-1.566432,1.186564,-0.528541,309.148700,100.899700,339.921400,-1.556315,1.099567,-0.433960,308.014000,108.117300,13.612000
31,1753452932.7526,defaultActivity,0,-1.671343,1.712934,-0.430737,349.179500,104.988900,1.207201,-1.566432,1.186564,-0.528541,309.148700,100.899700,339.921400,-1.556315,1.099567,-0.433960,308.014000,108.117300,13.612000
32,1753452932.7994,defaultActivity,0,-1.670269,1.713587,-0.430056,348.955000,104.855000,1.181049,-1.565229,1.186050,-0.529933,309.408600,101.111500,340.053300,-1.555462,1.099160,-0.434970,307.902600,107.989500,13.954040
33,1753452932.8005,defaultActivity,0,-1.670269,1.713587,-0.430056,348.955000,104.855000,1.181049,-1.565229,1.186050,-0.529933,309.408600,101.111500,340.053300,-1.555462,1.099160,-0.434970,307.902600,107.989500,13.954040
34,1753452932.8013,defaultActivity,0,-1.670269,1.713587,-0.430056,348.955000,104.855000,1.181049,-1.565229,1.186050,-0.529933,309.408600,101.111500,340.053300,-1.555462,1.099160,-0.434970,307.902600,107.989500,13.954040
35,1753452932.8438,defaultActivity,0,-1.669494,1.714974,-0.429614,348.150200,105.040800,0.966275,-1.564192,1.185855,-0.531278,309.138200,101.164300,340.531300,-1.553752,1.099904,-0.436076,307.853900,108.573700,13.762170
36,1753452932.8446,defaultActivity,0,-1.669494,1.714974,-0.429614,348.150200,105.040800,0.966275,-1.564192,1.185855,-0.531278,309.138200,101.164300,340.531300,-1.553752,1.099904,-0.436076,307.853900,108.573700,13.762170
37,1753452932.8887,defaultActivity,0,-1.668928,1.715127,-0.429057,347.793200,105.280500,0.840072,-1.562854,1.185858,-0.532942,309.264000,102.006100,340.230100,-1.551785,1.100588,-0.436905,307.897700,108.485600,14.117570
38,1753452932.8895,defaultActivity,0,-1.668928,1.715127,-0.429057,347.793200,105.280500,0.840072,-1.562854,1.185858,-0.532942,309.264000,102.006100,340.230100,-1.551785,1.100588,-0.436905,307.897700,108.485600,14.117570
39,1753452932.9334,defaultActivity,0,-1.667947,1.714999,-0.428859,347.777700,105.593700,0.664254,-1.561376,1.185498,-0.534797,309.313000,102.677000,340.372300,-1.550070,1.101092,-0.437570,307.869400,108.112000,14.567360
40,1753452932.9343,defaultActivity,0,-1.667947,1.714999,-0.428859,347.777700,105.593700,0.664254,-1.561376,1.185498,-0.534797,309.313000,102.677000,340.372300,-1.550070,1.101092,-0.437570,307.869400,108.112000,14.567360
41,1753452932.9755,defaultActivity,0,-1.666718,1.714065,-0.428897,348.095400,106.020000,0.583959,-1.560031,1.185755,-0.536884,309.283500,103.433500,340.363600,-1.549064,1.100946,-0.437886,307.884900,108.045900,14.748800
