Index,Timestamp,Activity,LogNumber,HeadPosX,HeadPosY,HeadPosZ,HeadRotX,HeadRotY,HeadRotZ,RightPosX,RightPosY,RightPosZ,RightRotX,RightRotY,RightRotZ,LeftPosX,LeftPosY,LeftPosZ,LeftRotX,LeftRotY,LeftRotZ
1,1756986843.2610,defaultActivity,0,1.292455,1.593246,0.616945,12.758510,183.774100,0.076896,1.215991,1.055552,0.567164,321.881900,183.896200,0.147631,1.340455,1.090401,0.537800,316.512600,185.588200,5.258305
2,1756986843.2792,defaultActivity,0,1.292212,1.593194,0.616591,12.805680,183.795600,0.076986,1.215761,1.055458,0.566941,321.873900,183.934300,0.126664,1.341295,1.091168,0.536419,316.396900,184.717700,5.591490
3,1756986843.3309,defaultActivity,0,1.291366,1.592801,0.615194,12.975790,183.980800,0.219695,1.215026,1.054999,0.566802,322.075800,183.985200,0.119983,1.342621,1.092272,0.532752,316.280700,182.854000,6.359042
4,1756986843.3324,defaultActivity,0,1.291366,1.592801,0.615194,12.975790,183.980800,0.219695,1.215026,1.054999,0.566802,322.075800,183.985200,0.119983,1.342621,1.092272,0.532752,316.280700,182.854000,6.359042
5,1756986843.3339,defaultActivity,0,1.291366,1.592801,0.615194,12.975790,183.980800,0.219695,1.215026,1.054999,0.566802,322.075800,183.985200,0.119983,1.342621,1.092272,0.532752,316.280700,182.854000,6.359042
6,1756986843.3649,defaultActivity,0,1.291153,1.592640,0.614405,13.026690,183.975200,0.231069,1.214553,1.054749,0.566927,322.201900,184.042600,0.086860,1.341798,1.091645,0.532617,316.356500,182.802500,6.291415
7,1756986843.3665,defaultActivity,0,1.291153,1.592640,0.614405,13.026690,183.975200,0.231069,1.214553,1.054749,0.566927,322.201900,184.042600,0.086860,1.341798,1.091645,0.532617,316.356500,182.802500,6.291415
8,1756986843.3964,defaultActivity,0,1.291296,1.592428,0.613921,13.101210,183.897800,0.173572,1.214046,1.054603,0.566921,322.232700,184.068600,0.137732,1.340997,1.090974,0.533748,316.532500,183.544300,6.280691
9,1756986843.4343,defaultActivity,0,1.291406,1.592037,0.613554,13.411500,183.814100,0.302125,1.213057,1.054594,0.566824,322.385500,184.363300,359.991200,1.338830,1.089908,0.534168,316.879700,185.049500,5.647145
10,1756986843.4360,defaultActivity,0,1.291406,1.592037,0.613554,13.411500,183.814100,0.302125,1.213057,1.054594,0.566824,322.385500,184.363300,359.991200,1.338830,1.089908,0.534168,316.879700,185.049500,5.647145
11,1756986843.4687,defaultActivity,0,1.291322,1.592368,0.613951,13.514110,183.730500,0.356108,1.212555,1.054629,0.566702,322.398300,184.483300,0.018204,1.338386,1.090052,0.534268,316.819700,185.345300,5.274065
12,1756986843.4700,defaultActivity,0,1.291322,1.592368,0.613951,13.514110,183.730500,0.356108,1.212555,1.054629,0.566702,322.398300,184.483300,0.018204,1.338386,1.090052,0.534268,316.819700,185.345300,5.274065
13,1756986843.5034,defaultActivity,0,1.290899,1.593657,0.614379,13.128010,183.630200,0.375891,1.211958,1.055653,0.566446,322.807400,185.496400,359.551600,1.338423,1.090856,0.533592,317.009900,184.456200,6.128971
14,1756986843.5416,defaultActivity,0,1.290381,1.594387,0.614890,12.836920,183.464200,0.360740,1.211699,1.056276,0.566340,323.199600,186.647400,358.281000,1.337999,1.091706,0.532537,316.896500,184.186000,6.135394
15,1756986843.5428,defaultActivity,0,1.290381,1.594387,0.614890,12.836920,183.464200,0.360740,1.211699,1.056276,0.566340,323.199600,186.647400,358.281000,1.337999,1.091706,0.532537,316.896500,184.186000,6.135394
16,1756986843.5819,defaultActivity,0,1.289860,1.593865,0.615128,12.975980,183.232700,0.161133,1.211572,1.055493,0.566355,322.904400,186.508500,358.319500,1.337586,1.092904,0.530996,316.398000,184.245600,6.020231
