Index,Timestamp,Activity,LogNumber,HeadPosX,HeadPosY,HeadPosZ,HeadRotX,HeadRotY,HeadRotZ,RightPosX,RightPosY,RightPosZ,RightRotX,RightRotY,RightRotZ,LeftPosX,LeftPosY,LeftPosZ,LeftRotX,LeftRotY,LeftRotZ
1,1756981249.3220,defaultActivity,0,1.398668,1.591333,2.364608,4.218546,246.873100,353.500400,1.292842,1.146150,2.371218,305.051300,264.233700,340.844900,1.330103,1.130408,2.205472,295.365500,214.270000,16.848130
2,1756981249.4099,defaultActivity,0,1.398395,1.591617,2.365376,4.124810,246.240400,353.273800,1.292878,1.145100,2.369730,305.026100,263.387200,341.219400,1.332793,1.133605,2.190252,294.795800,210.284000,17.115050
3,1756981249.4307,defaultActivity,0,1.398336,1.591640,2.365263,4.088728,246.228100,353.238000,1.293431,1.144887,2.369055,304.968800,263.084900,341.354600,1.332701,1.133174,2.191926,294.522900,211.451100,16.279290
4,1756981249.4864,defaultActivity,0,1.398489,1.591402,2.364942,4.191206,246.156800,353.302700,1.295075,1.144930,2.367599,305.168600,262.640800,340.921300,1.332534,1.132806,2.195332,295.199400,210.390400,18.208020
5,1756981249.4878,defaultActivity,0,1.398489,1.591402,2.364942,4.191206,246.156800,353.302700,1.295075,1.144930,2.367599,305.168600,262.640800,340.921300,1.332534,1.132806,2.195332,295.199400,210.390400,18.208020
6,1756981249.4887,defaultActivity,0,1.398489,1.591402,2.364942,4.191206,246.156800,353.302700,1.295075,1.144930,2.367599,305.168600,262.640800,340.921300,1.332534,1.132806,2.195332,295.199400,210.390400,18.208020
7,1756981249.5534,defaultActivity,0,1.398877,1.591490,2.364487,4.244523,245.937400,353.338700,1.295476,1.144982,2.367217,304.912600,262.399800,341.203800,1.332546,1.131799,2.198132,294.439000,213.623500,15.579980
8,1756981249.5545,defaultActivity,0,1.398877,1.591490,2.364487,4.244523,245.937400,353.338700,1.295476,1.144982,2.367217,304.912600,262.399800,341.203800,1.332546,1.131799,2.198132,294.439000,213.623500,15.579980
9,1756981249.5556,defaultActivity,0,1.398877,1.591490,2.364487,4.244523,245.937400,353.338700,1.295476,1.144982,2.367217,304.912600,262.399800,341.203800,1.332546,1.131799,2.198132,294.439000,213.623500,15.579980
10,1756981249.6218,defaultActivity,0,1.399156,1.591709,2.364390,4.060681,245.910500,353.256200,1.295533,1.145024,2.367112,304.897200,262.205400,341.307400,1.332407,1.131906,2.199971,295.124300,213.048000,16.677480
11,1756981249.6232,defaultActivity,0,1.399156,1.591709,2.364390,4.060681,245.910500,353.256200,1.295533,1.145024,2.367112,304.897200,262.205400,341.307400,1.332407,1.131906,2.199971,295.124300,213.048000,16.677480
12,1756981249.6244,defaultActivity,0,1.399156,1.591709,2.364390,4.060681,245.910500,353.256200,1.295533,1.145024,2.367112,304.897200,262.205400,341.307400,1.332407,1.131906,2.199971,295.124300,213.048000,16.677480
13,1756981249.6796,defaultActivity,0,1.399864,1.591634,2.364180,4.037017,245.853300,353.196500,1.294718,1.145310,2.367653,305.112500,262.870700,341.014500,1.332570,1.132048,2.199358,294.917800,212.343700,17.210700
14,1756981249.6808,defaultActivity,0,1.399864,1.591634,2.364180,4.037017,245.853300,353.196500,1.294718,1.145310,2.367653,305.112500,262.870700,341.014500,1.332570,1.132048,2.199358,294.917800,212.343700,17.210700
