Index,Timestamp,Activity,LogNumber,HeadPosX,HeadPosY,HeadPosZ,HeadRotX,HeadRotY,HeadRotZ,RightPosX,RightPosY,RightPosZ,RightRotX,RightRotY,RightRotZ,LeftPosX,LeftPosY,LeftPosZ,LeftRotX,LeftRotY,LeftRotZ
1,1752918529.7921,defaultActivity,0,-0.704935,1.634026,1.793547,358.534400,246.658700,0.330943,-0.806019,0.816854,2.004320,5.796049,229.571800,32.785320,-0.569503,0.804278,1.607124,15.042960,264.774200,327.348800
2,1752918529.8893,defaultActivity,0,-0.703734,1.634024,1.791207,358.511700,246.244800,0.574887,-0.805471,0.816591,2.003457,6.330729,229.912600,32.671460,-0.568863,0.803021,1.608573,13.649110,264.392600,326.698800
3,1752918529.9380,defaultActivity,0,-0.702798,1.634165,1.791134,358.320400,246.167300,0.625751,-0.804387,0.816196,2.003347,6.458040,229.880700,32.577870,-0.568500,0.803026,1.608811,13.792360,264.346100,326.781800
4,1752918529.9388,defaultActivity,0,-0.702798,1.634165,1.791134,358.320400,246.167300,0.625751,-0.804387,0.816196,2.003347,6.458040,229.880700,32.577870,-0.568500,0.803026,1.608811,13.792360,264.346100,326.781800
5,1752918529.9806,defaultActivity,0,-0.702425,1.634438,1.791335,358.183300,246.275100,0.477991,-0.803641,0.815827,2.003454,6.495736,229.905100,32.559190,-0.567970,0.802925,1.609254,13.916200,264.305400,326.841500
6,1752918529.9813,defaultActivity,0,-0.702425,1.634438,1.791335,358.183300,246.275100,0.477991,-0.803641,0.815827,2.003454,6.495736,229.905100,32.559190,-0.567970,0.802925,1.609254,13.916200,264.305400,326.841500
7,1752918530.0229,defaultActivity,0,-0.702758,1.634427,1.791659,358.278600,246.368200,0.577449,-0.802802,0.815635,2.003629,6.623766,229.969800,32.485230,-0.567334,0.802646,1.609667,14.036910,264.218000,326.918500
8,1752918530.0237,defaultActivity,0,-0.702758,1.634427,1.791659,358.278600,246.368200,0.577449,-0.802802,0.815635,2.003629,6.623766,229.969800,32.485230,-0.567334,0.802646,1.609667,14.036910,264.218000,326.918500
9,1752918530.0648,defaultActivity,0,-0.703120,1.634339,1.791945,358.528600,246.490800,0.516247,-0.802295,0.815713,2.003927,6.738830,229.933300,32.429780,-0.566564,0.802336,1.610267,14.336610,264.168500,326.988700
10,1752918530.0659,defaultActivity,0,-0.703120,1.634339,1.791945,358.528600,246.490800,0.516247,-0.802295,0.815713,2.003927,6.738830,229.933300,32.429780,-0.566564,0.802336,1.610267,14.336610,264.168500,326.988700
11,1752918530.0669,defaultActivity,0,-0.703120,1.634339,1.791945,358.528600,246.490800,0.516247,-0.802295,0.815713,2.003927,6.738830,229.933300,32.429780,-0.566564,0.802336,1.610267,14.336610,264.168500,326.988700
12,1752918530.1082,defaultActivity,0,-0.703585,1.633930,1.792223,358.714000,246.632500,0.490810,-0.802048,0.815713,2.004355,6.694908,229.947100,32.536060,-0.565798,0.802059,1.610952,14.655430,264.374400,327.117000
13,1752918530.1092,defaultActivity,0,-0.703585,1.633930,1.792223,358.714000,246.632500,0.490810,-0.802048,0.815713,2.004355,6.694908,229.947100,32.536060,-0.565798,0.802059,1.610952,14.655430,264.374400,327.117000
14,1752918530.1497,defaultActivity,0,-0.703725,1.633533,1.792298,358.834700,246.587200,0.523888,-0.801844,0.815705,2.004881,6.646428,230.110700,32.526710,-0.565686,0.801775,1.611045,14.579500,264.439900,327.003200
15,1752918530.1507,defaultActivity,0,-0.703725,1.633533,1.792298,358.834700,246.587200,0.523888,-0.801844,0.815705,2.004881,6.646428,230.110700,32.526710,-0.565686,0.801775,1.611045,14.579500,264.439900,327.003200
16,1752918530.1928,defaultActivity,0,-0.703929,1.633463,1.792372,358.906400,246.577100,0.403750,-0.801666,0.815677,2.005349,6.639969,230.236800,32.583460,-0.565435,0.801656,1.611412,14.589670,264.228400,326.987700
17,1752918530.1937,defaultActivity,0,-0.703929,1.633463,1.792372,358.906400,246.577100,0.403750,-0.801666,0.815677,2.005349,6.639969,230.236800,32.583460,-0.565435,0.801656,1.611412,14.589670,264.228400,326.987700
18,1752918530.2354,defaultActivity,0,-0.704121,1.633548,1.792626,358.943500,246.616400,0.497833,-0.801381,0.815705,2.005703,6.703242,230.296900,32.549770,-0.565113,0.801469,1.611718,14.619250,264.139300,327.107400
19,1752918530.2362,defaultActivity,0,-0.704121,1.633548,1.792626,358.943500,246.616400,0.497833,-0.801381,0.815705,2.005703,6.703242,230.296900,32.549770,-0.565113,0.801469,1.611718,14.619250,264.139300,327.107400
20,1752918530.2770,defaultActivity,0,-0.704545,1.633398,1.792871,359.039600,246.629800,0.462301,-0.801055,0.815430,2.006011,6.743047,230.278700,32.557600,-0.564755,0.801555,1.611989,14.672190,264.266900,327.048400
21,1752918530.2779,defaultActivity,0,-0.704545,1.633398,1.792871,359.039600,246.629800,0.462301,-0.801055,0.815430,2.006011,6.743047,230.278700,32.557600,-0.564755,0.801555,1.611989,14.672190,264.266900,327.048400
22,1752918530.3193,defaultActivity,0,-0.704939,1.633078,1.792930,359.268400,246.681700,0.448391,-0.800740,0.815316,2.006158,6.773468,230.293600,32.545310,-0.564630,0.801670,1.612182,14.737040,264.226800,327.084900
23,1752918530.3200,defaultActivity,0,-0.704939,1.633078,1.792930,359.268400,246.681700,0.448391,-0.800740,0.815316,2.006158,6.773468,230.293600,32.545310,-0.564630,0.801670,1.612182,14.737040,264.226800,327.084900
24,1752918530.3666,defaultActivity,0,-0.705727,1.632267,1.792778,359.832800,246.680500,0.466157,-0.800700,0.815315,2.006149,6.778388,230.280700,32.536960,-0.564478,0.801571,1.612258,14.762930,264.207600,327.032500
25,1752918530.3675,defaultActivity,0,-0.705727,1.632267,1.792778,359.832800,246.680500,0.466157,-0.800700,0.815315,2.006149,6.778388,230.280700,32.536960,-0.564478,0.801571,1.612258,14.762930,264.207600,327.032500
26,1752918530.3684,defaultActivity,0,-0.705727,1.632267,1.792778,359.832800,246.680500,0.466157,-0.800700,0.815315,2.006149,6.778388,230.280700,32.536960,-0.564478,0.801571,1.612258,14.762930,264.207600,327.032500
27,1752918530.4082,defaultActivity,0,-0.706825,1.630987,1.792461,0.433724,246.716600,0.502612,-0.800212,0.814868,2.006218,6.808869,230.277500,32.502860,-0.564615,0.801979,1.612364,14.786350,264.154300,327.097800
28,1752918530.4090,defaultActivity,0,-0.706825,1.630987,1.792461,0.433724,246.716600,0.502612,-0.800212,0.814868,2.006218,6.808869,230.277500,32.502860,-0.564615,0.801979,1.612364,14.786350,264.154300,327.097800
29,1752918530.4497,defaultActivity,0,-0.707851,1.629807,1.792134,1.181338,246.712500,0.521047,-0.800007,0.815054,2.006009,6.778392,230.305700,32.453850,-0.565437,0.802843,1.611986,14.633910,264.132900,327.447100
30,1752918530.4504,defaultActivity,0,-0.707851,1.629807,1.792134,1.181338,246.712500,0.521047,-0.800007,0.815054,2.006009,6.778392,230.305700,32.453850,-0.565437,0.802843,1.611986,14.633910,264.132900,327.447100
31,1752918530.4919,defaultActivity,0,-0.709378,1.628174,1.791870,2.195967,246.845100,0.510331,-0.799940,0.815112,2.005787,6.731124,230.442700,32.383130,-0.568059,0.804408,1.610926,12.722260,263.394700,327.996000
32,1752918530.4929,defaultActivity,0,-0.709378,1.628174,1.791870,2.195967,246.845100,0.510331,-0.799940,0.815112,2.005787,6.731124,230.442700,32.383130,-0.568059,0.804408,1.610926,12.722260,263.394700,327.996000
33,1752918530.5336,defaultActivity,0,-0.711134,1.625811,1.791852,3.614459,247.080500,0.453854,-0.799819,0.815387,2.005748,6.602899,230.822200,32.308130,-0.572196,0.807427,1.611231,10.378930,261.411600,330.077700
34,1752918530.5342,defaultActivity,0,-0.711134,1.625811,1.791852,3.614459,247.080500,0.453854,-0.799819,0.815387,2.005748,6.602899,230.822200,32.308130,-0.572196,0.807427,1.611231,10.378930,261.411600,330.077700
35,1752918530.5832,defaultActivity,0,-0.713522,1.620446,1.791543,6.548980,247.476200,0.141770,-0.800125,0.816525,2.005253,6.617494,232.449300,31.273570,-0.577318,0.811912,1.610722,6.264122,260.402700,335.290200
36,1752918530.5838,defaultActivity,0,-0.713522,1.620446,1.791543,6.548980,247.476200,0.141770,-0.800125,0.816525,2.005253,6.617494,232.449300,31.273570,-0.577318,0.811912,1.610722,6.264122,260.402700,335.290200
37,1752918530.6388,defaultActivity,0,-0.717241,1.608488,1.790919,12.952490,247.961700,359.878000,-0.801802,0.817877,2.004475,6.045505,233.661100,30.391420,-0.584035,0.815710,1.609282,4.631143,254.144000,341.222400
38,1752918530.6393,defaultActivity,0,-0.717241,1.608488,1.790919,12.952490,247.961700,359.878000,-0.801802,0.817877,2.004475,6.045505,233.661100,30.391420,-0.584035,0.815710,1.609282,4.631143,254.144000,341.222400
39,1752918530.6398,defaultActivity,0,-0.717241,1.608488,1.790919,12.952490,247.961700,359.878000,-0.801802,0.817877,2.004475,6.045505,233.661100,30.391420,-0.584035,0.815710,1.609282,4.631143,254.144000,341.222400
40,1752918530.6945,defaultActivity,0,-0.721536,1.599743,1.789741,18.717880,249.068600,0.918397,-0.805713,0.823191,2.000676,3.215887,236.949500,25.239490,-0.591894,0.817953,1.606492,2.156551,250.518800,340.776300
41,1752918530.6957,defaultActivity,0,-0.721536,1.599743,1.789741,18.717880,249.068600,0.918397,-0.805713,0.823191,2.000676,3.215887,236.949500,25.239490,-0.591894,0.817953,1.606492,2.156551,250.518800,340.776300
42,1752918530.6964,defaultActivity,0,-0.721536,1.599743,1.789741,18.717880,249.068600,0.918397,-0.805713,0.823191,2.000676,3.215887,236.949500,25.239490,-0.591894,0.817953,1.606492,2.156551,250.518800,340.776300
