Index,Timestamp,Activity,LogNumber,HeadPosX,HeadPosY,HeadPosZ,HeadRotX,HeadRotY,HeadRotZ,RightPosX,RightPosY,RightPosZ,RightRotX,RightRotY,RightRotZ,LeftPosX,LeftPosY,LeftPosZ,LeftRotX,LeftRotY,LeftRotZ
1,1752674833.8258,defaultActivity,0,-1.722662,1.669716,-0.505430,10.450960,94.908630,358.970500,-1.751040,0.770633,-0.705836,3.739764,97.110340,28.607320,-1.593752,0.806521,-0.318008,350.281700,96.523120,343.117900
2,1752674833.8516,defaultActivity,0,-1.721760,1.668082,-0.501167,11.345240,93.025990,359.303700,-1.750947,0.771642,-0.704948,3.208219,97.251510,28.269470,-1.593608,0.807459,-0.323478,349.417400,97.837330,343.556300
3,1752674833.8529,defaultActivity,0,-1.721760,1.668082,-0.501167,11.345240,93.025990,359.303700,-1.750947,0.771642,-0.704948,3.208219,97.251510,28.269470,-1.593608,0.807459,-0.323478,349.417400,97.837330,343.556300
4,1752674833.8929,defaultActivity,0,-1.720089,1.664739,-0.487754,15.459690,87.930730,0.477468,-1.752216,0.773507,-0.703316,1.335548,101.152400,26.746660,-1.594090,0.811454,-0.339457,347.225300,103.813900,343.828300
5,1752674833.8942,defaultActivity,0,-1.720089,1.664739,-0.487754,15.459690,87.930730,0.477468,-1.752216,0.773507,-0.703316,1.335548,101.152400,26.746660,-1.594090,0.811454,-0.339457,347.225300,103.813900,343.828300
6,1752674833.9339,defaultActivity,0,-1.717099,1.665343,-0.480060,15.960160,86.285260,0.791090,-1.758054,0.774711,-0.702005,2.277030,107.539700,25.329520,-1.598455,0.816835,-0.350457,346.824200,114.319800,343.237200
7,1752674833.9352,defaultActivity,0,-1.717099,1.665343,-0.480060,15.960160,86.285260,0.791090,-1.758054,0.774711,-0.702005,2.277030,107.539700,25.329520,-1.598455,0.816835,-0.350457,346.824200,114.319800,343.237200
8,1752674833.9648,defaultActivity,0,-1.715200,1.663746,-0.473374,16.581730,84.423330,2.008787,-1.764356,0.775083,-0.700482,3.695872,112.417100,24.393010,-1.599832,0.821972,-0.359416,344.831700,124.504500,343.764000
9,1752674834.0002,defaultActivity,0,-1.713997,1.663333,-0.468810,16.484850,83.258610,2.440503,-1.770662,0.772495,-0.698825,4.861312,115.875600,23.877160,-1.599853,0.826494,-0.369330,342.467600,124.754000,347.453700
10,1752674834.0014,defaultActivity,0,-1.713997,1.663333,-0.468810,16.484850,83.258610,2.440503,-1.770662,0.772495,-0.698825,4.861312,115.875600,23.877160,-1.599853,0.826494,-0.369330,342.467600,124.754000,347.453700
11,1752674834.0340,defaultActivity,0,-1.712348,1.662763,-0.463861,16.706220,82.036210,2.103682,-1.778878,0.768126,-0.695834,6.464651,118.351200,23.951700,-1.599971,0.832301,-0.381116,341.511900,121.244700,352.488100
12,1752674834.0352,defaultActivity,0,-1.712348,1.662763,-0.463861,16.706220,82.036210,2.103682,-1.778878,0.768126,-0.695834,6.464651,118.351200,23.951700,-1.599971,0.832301,-0.381116,341.511900,121.244700,352.488100
13,1752674834.0722,defaultActivity,0,-1.709706,1.664592,-0.460212,16.044950,82.741420,2.077562,-1.790462,0.762815,-0.692021,8.889039,114.991500,25.605980,-1.600155,0.837650,-0.389737,340.622300,119.172800,354.330900
14,1752674834.0736,defaultActivity,0,-1.709706,1.664592,-0.460212,16.044950,82.741420,2.077562,-1.790462,0.762815,-0.692021,8.889039,114.991500,25.605980,-1.600155,0.837650,-0.389737,340.622300,119.172800,354.330900
15,1752674834.1100,defaultActivity,0,-1.707887,1.665375,-0.456913,15.349900,84.277880,2.203884,-1.802599,0.759499,-0.690025,11.451040,107.437700,28.671340,-1.599329,0.840497,-0.393951,338.714500,116.950000,355.048700
16,1752674834.1116,defaultActivity,0,-1.707887,1.665375,-0.456913,15.349900,84.277880,2.203884,-1.802599,0.759499,-0.690025,11.451040,107.437700,28.671340,-1.599329,0.840497,-0.393951,338.714500,116.950000,355.048700
17,1752674834.1525,defaultActivity,0,-1.706551,1.665931,-0.453431,15.540910,85.959670,2.014635,-1.811473,0.759493,-0.690817,13.784480,102.103800,31.165220,-1.597977,0.840600,-0.393972,339.488300,113.327000,356.039800
18,1752674834.1537,defaultActivity,0,-1.706551,1.665931,-0.453431,15.540910,85.959670,2.014635,-1.811473,0.759493,-0.690817,13.784480,102.103800,31.165220,-1.597977,0.840600,-0.393972,339.488300,113.327000,356.039800
19,1752674834.1885,defaultActivity,0,-1.705575,1.669513,-0.450221,15.365800,87.700640,1.715972,-1.814888,0.761930,-0.691191,14.983170,102.082400,33.152450,-1.598699,0.837888,-0.389806,341.338100,113.347600,354.859000
20,1752674834.1899,defaultActivity,0,-1.705575,1.669513,-0.450221,15.365800,87.700640,1.715972,-1.814888,0.761930,-0.691191,14.983170,102.082400,33.152450,-1.598699,0.837888,-0.389806,341.338100,113.347600,354.859000
21,1752674834.2293,defaultActivity,0,-1.706598,1.672694,-0.447681,13.782400,89.563450,1.748013,-1.812774,0.766007,-0.690196,14.849930,105.561500,33.923700,-1.601885,0.830496,-0.378984,343.937800,118.135400,351.164200
22,1752674834.2305,defaultActivity,0,-1.706598,1.672694,-0.447681,13.782400,89.563450,1.748013,-1.812774,0.766007,-0.690196,14.849930,105.561500,33.923700,-1.601885,0.830496,-0.378984,343.937800,118.135400,351.164200
23,1752674834.2668,defaultActivity,0,-1.708719,1.673135,-0.445973,13.016090,90.290720,1.463318,-1.806083,0.769153,-0.687636,12.565450,109.375000,32.820600,-1.604891,0.821423,-0.366241,345.360500,124.449700,346.775900
24,1752674834.3053,defaultActivity,0,-1.710956,1.674249,-0.443954,12.047880,91.134330,1.104640,-1.797607,0.771839,-0.683440,10.620430,113.473200,30.120730,-1.609155,0.809534,-0.348350,347.781100,127.905700,343.911900
25,1752674834.3064,defaultActivity,0,-1.710956,1.674249,-0.443954,12.047880,91.134330,1.104640,-1.797607,0.771839,-0.683440,10.620430,113.473200,30.120730,-1.609155,0.809534,-0.348350,347.781100,127.905700,343.911900
26,1752674834.3438,defaultActivity,0,-1.713470,1.675900,-0.442276,11.184670,91.769490,0.840743,-1.789243,0.773639,-0.678345,9.385602,114.266700,27.942940,-1.614923,0.799049,-0.329967,351.704500,127.311900,342.255600
