Index,Timestamp,Activity,LogNumber,HeadPosX,HeadPosY,HeadPosZ,HeadRotX,HeadRotY,HeadRotZ,RightPosX,RightPosY,RightPosZ,RightRotX,RightRotY,RightRotZ,LeftPosX,LeftPosY,LeftPosZ,LeftRotX,LeftRotY,LeftRotZ
1,1751383056.8163,defaultActivity,0,0.286374,1.652403,1.350496,358.305300,225.666300,0.245905,0.016325,0.912856,1.706486,9.017009,227.892500,7.954821,0.706848,0.857798,1.322187,33.331330,271.448100,345.838500
2,1751383056.9299,defaultActivity,0,0.238120,1.653904,1.353016,357.706600,208.684700,351.259600,-0.241573,1.289298,0.972768,327.253400,137.830900,76.241700,0.570396,0.814270,1.560885,22.974020,189.830600,327.383300
3,1751383056.9461,defaultActivity,0,0.222626,1.654310,1.351212,358.851900,201.018100,352.522300,-0.195500,1.326453,0.891740,312.743000,119.917900,89.372860,0.550303,0.812053,1.618958,29.114200,175.359800,322.479500
4,1751383056.9849,defaultActivity,0,0.214868,1.654213,1.356257,0.529149,197.477000,352.817800,-0.168891,1.339538,0.867974,323.725300,114.261600,92.076290,0.536794,0.812987,1.644734,28.897730,164.958700,319.367500
5,1751383057.0199,defaultActivity,0,0.208286,1.654896,1.363248,1.539504,193.484100,353.918500,-0.142451,1.348269,0.846932,331.149500,108.722100,94.258960,0.522685,0.812657,1.665109,27.814820,154.945500,315.958300
6,1751383057.0207,defaultActivity,0,0.208286,1.654896,1.363248,1.539504,193.484100,353.918500,-0.142451,1.348269,0.846932,331.149500,108.722100,94.258960,0.522685,0.812657,1.665109,27.814820,154.945500,315.958300
7,1751383057.0522,defaultActivity,0,0.201590,1.656825,1.368411,0.574671,191.831000,354.252600,-0.120865,1.352538,0.835263,334.421400,106.845900,94.375290,0.511512,0.812313,1.678137,26.259740,149.195700,315.321600
8,1751383057.0532,defaultActivity,0,0.201590,1.656825,1.368411,0.574671,191.831000,354.252600,-0.120865,1.352538,0.835263,334.421400,106.845900,94.375290,0.511512,0.812313,1.678137,26.259740,149.195700,315.321600
9,1751383057.0885,defaultActivity,0,0.192791,1.658054,1.373388,358.415900,189.523800,355.866400,-0.097376,1.361073,0.820038,338.989300,107.861200,98.538360,0.495462,0.810130,1.693278,23.859940,142.082400,314.217000
10,1751383057.0898,defaultActivity,0,0.192791,1.658054,1.373388,358.415900,189.523800,355.866400,-0.097376,1.361073,0.820038,338.989300,107.861200,98.538360,0.495462,0.810130,1.693278,23.859940,142.082400,314.217000
11,1751383057.1256,defaultActivity,0,0.185205,1.654161,1.379629,357.597000,186.453700,356.142500,-0.078506,1.368911,0.811422,340.486700,100.687100,98.425090,0.477883,0.806035,1.705503,20.973460,135.606400,313.760700
12,1751383057.1267,defaultActivity,0,0.185205,1.654161,1.379629,357.597000,186.453700,356.142500,-0.078506,1.368911,0.811422,340.486700,100.687100,98.425090,0.477883,0.806035,1.705503,20.973460,135.606400,313.760700
13,1751383057.1647,defaultActivity,0,0.176614,1.650134,1.383792,357.359200,184.500000,355.807400,-0.059467,1.373146,0.804526,340.765300,97.456370,95.745320,0.457501,0.799689,1.715456,19.598680,130.948700,314.266600
14,1751383057.2032,defaultActivity,0,0.169855,1.645956,1.386745,357.076800,181.913000,355.982000,-0.045823,1.376943,0.797330,343.014300,95.048960,94.083310,0.435836,0.793477,1.723871,18.151410,128.911400,315.189100
15,1751383057.2044,defaultActivity,0,0.169855,1.645956,1.386745,357.076800,181.913000,355.982000,-0.045823,1.376943,0.797330,343.014300,95.048960,94.083310,0.435836,0.793477,1.723871,18.151410,128.911400,315.189100
16,1751383057.2385,defaultActivity,0,0.165353,1.645855,1.387786,357.533000,180.397300,356.150000,-0.038926,1.377095,0.793154,342.213600,94.677040,92.857410,0.416553,0.788614,1.729257,17.381530,129.574000,316.183400
17,1751383057.2397,defaultActivity,0,0.165353,1.645855,1.387786,357.533000,180.397300,356.150000,-0.038926,1.377095,0.793154,342.213600,94.677040,92.857410,0.416553,0.788614,1.729257,17.381530,129.574000,316.183400
18,1751383057.2758,defaultActivity,0,0.160818,1.647497,1.388154,357.602900,178.015800,356.854700,-0.031010,1.377032,0.787979,343.742100,95.877590,89.980800,0.388188,0.784475,1.734090,16.463380,128.035200,317.938400
19,1751383057.2769,defaultActivity,0,0.160818,1.647497,1.388154,357.602900,178.015800,356.854700,-0.031010,1.377032,0.787979,343.742100,95.877590,89.980800,0.388188,0.784475,1.734090,16.463380,128.035200,317.938400
20,1751383057.3151,defaultActivity,0,0.156387,1.645385,1.389509,358.241500,175.538400,357.786300,-0.025554,1.375890,0.782882,345.234100,94.868210,93.254300,0.356916,0.782579,1.737065,15.959580,125.359200,320.737800
21,1751383057.3162,defaultActivity,0,0.156387,1.645385,1.389509,358.241500,175.538400,357.786300,-0.025554,1.375890,0.782882,345.234100,94.868210,93.254300,0.356916,0.782579,1.737065,15.959580,125.359200,320.737800
22,1751383057.3514,defaultActivity,0,0.150985,1.642924,1.390677,358.934300,174.396300,358.498000,-0.024369,1.375088,0.782898,346.593500,95.406550,91.477260,0.327413,0.780950,1.737582,17.488110,124.938500,323.731600
23,1751383057.3524,defaultActivity,0,0.150985,1.642924,1.390677,358.934300,174.396300,358.498000,-0.024369,1.375088,0.782898,346.593500,95.406550,91.477260,0.327413,0.780950,1.737582,17.488110,124.938500,323.731600
24,1751383057.3874,defaultActivity,0,0.142016,1.638882,1.392775,359.798300,173.522000,358.449600,-0.023844,1.376298,0.783110,349.499400,94.634120,88.070460,0.295191,0.776810,1.740888,19.007780,128.325100,328.725300
25,1751383057.3885,defaultActivity,0,0.142016,1.638882,1.392775,359.798300,173.522000,358.449600,-0.023844,1.376298,0.783110,349.499400,94.634120,88.070460,0.295191,0.776810,1.740888,19.007780,128.325100,328.725300
26,1751383057.4234,defaultActivity,0,0.135022,1.637899,1.394039,0.189420,174.191200,357.484100,-0.026665,1.378866,0.782060,349.440800,92.917880,91.062760,0.271102,0.771575,1.745627,21.240750,136.006400,331.266800
27,1751383057.4586,defaultActivity,0,0.127888,1.637856,1.395272,0.082162,174.630300,356.976000,-0.030019,1.382079,0.782476,346.949100,94.452100,92.080290,0.245727,0.765274,1.752749,22.519400,143.668700,331.693100
28,1751383057.4596,defaultActivity,0,0.127888,1.637856,1.395272,0.082162,174.630300,356.976000,-0.030019,1.382079,0.782476,346.949100,94.452100,92.080290,0.245727,0.765274,1.752749,22.519400,143.668700,331.693100
29,1751383057.4950,defaultActivity,0,0.124852,1.638630,1.395885,359.606800,174.833400,356.904100,-0.036013,1.383642,0.784321,345.240400,94.298110,92.411160,0.229166,0.760968,1.757859,24.240000,146.458700,329.767900
30,1751383057.4959,defaultActivity,0,0.124852,1.638630,1.395885,359.606800,174.833400,356.904100,-0.036013,1.383642,0.784321,345.240400,94.298110,92.411160,0.229166,0.760968,1.757859,24.240000,146.458700,329.767900
31,1751383057.5310,defaultActivity,0,0.120161,1.639674,1.396527,359.167100,174.816100,357.037600,-0.046437,1.384706,0.786029,345.265600,94.192960,93.053760,0.211422,0.758227,1.761731,27.388390,148.345200,330.503700
32,1751383057.5324,defaultActivity,0,0.120161,1.639674,1.396527,359.167100,174.816100,357.037600,-0.046437,1.384706,0.786029,345.265600,94.192960,93.053760,0.211422,0.758227,1.761731,27.388390,148.345200,330.503700
33,1751383057.5673,defaultActivity,0,0.117337,1.639929,1.396210,358.797700,175.153900,357.415100,-0.059699,1.385021,0.788621,346.969900,95.540990,92.545290,0.203279,0.757401,1.761454,29.149010,147.691200,332.545400
34,1751383057.5685,defaultActivity,0,0.117337,1.639929,1.396210,358.797700,175.153900,357.415100,-0.059699,1.385021,0.788621,346.969900,95.540990,92.545290,0.203279,0.757401,1.761454,29.149010,147.691200,332.545400
35,1751383057.6032,defaultActivity,0,0.112070,1.640161,1.395437,358.604400,175.971800,357.682700,-0.078709,1.385948,0.792507,350.400200,96.152210,92.217410,0.197198,0.756080,1.759967,30.221440,148.637800,334.496500
36,1751383057.6424,defaultActivity,0,0.106857,1.640984,1.394084,358.809700,177.620200,357.575700,-0.101184,1.387454,0.797389,350.063000,97.411380,91.741420,0.202563,0.755071,1.753506,29.902570,151.449900,335.670400
37,1751383057.6432,defaultActivity,0,0.106857,1.640984,1.394084,358.809700,177.620200,357.575700,-0.101184,1.387454,0.797389,350.063000,97.411380,91.741420,0.202563,0.755071,1.753506,29.902570,151.449900,335.670400
38,1751383057.6781,defaultActivity,0,0.103619,1.642091,1.392540,358.955800,178.971100,357.419600,-0.121053,1.388687,0.806151,346.261500,100.143700,87.379390,0.220647,0.756847,1.747609,27.688380,155.339200,333.913800
39,1751383057.6792,defaultActivity,0,0.103619,1.642091,1.392540,358.955800,178.971100,357.419600,-0.121053,1.388687,0.806151,346.261500,100.143700,87.379390,0.220647,0.756847,1.747609,27.688380,155.339200,333.913800
40,1751383057.7142,defaultActivity,0,0.098554,1.642726,1.390198,358.907700,180.693600,357.160000,-0.147311,1.386200,0.816969,343.578100,100.156200,83.136670,0.241127,0.760157,1.740208,27.821290,158.307200,331.961000
41,1751383057.7153,defaultActivity,0,0.098554,1.642726,1.390198,358.907700,180.693600,357.160000,-0.147311,1.386200,0.816969,343.578100,100.156200,83.136670,0.241127,0.760157,1.740208,27.821290,158.307200,331.961000
42,1751383057.7496,defaultActivity,0,0.093677,1.643032,1.387668,358.960300,182.237500,356.927600,-0.170866,1.383239,0.825229,343.822500,100.720800,84.591890,0.258874,0.764089,1.732491,26.903260,159.114900,330.847200
43,1751383057.7504,defaultActivity,0,0.093677,1.643032,1.387668,358.960300,182.237500,356.927600,-0.170866,1.383239,0.825229,343.822500,100.720800,84.591890,0.258874,0.764089,1.732491,26.903260,159.114900,330.847200
44,1751383057.7854,defaultActivity,0,0.086753,1.642490,1.384820,359.230300,184.811200,356.421200,-0.205119,1.379586,0.838852,343.759400,103.425100,84.503090,0.279866,0.768290,1.721542,24.070490,160.322500,331.607700
45,1751383057.7862,defaultActivity,0,0.086753,1.642490,1.384820,359.230300,184.811200,356.421200,-0.205119,1.379586,0.838852,343.759400,103.425100,84.503090,0.279866,0.768290,1.721542,24.070490,160.322500,331.607700
46,1751383057.8206,defaultActivity,0,0.081937,1.642232,1.382653,359.558900,187.025500,355.923700,-0.234735,1.374669,0.852836,342.673300,106.136300,85.011620,0.296956,0.771601,1.713702,21.959240,163.456400,333.414700
