Index,Timestamp,Activity,LogNumber,HeadPosX,HeadPosY,HeadPosZ,HeadRotX,HeadRotY,HeadRotZ,RightPosX,RightPosY,RightPosZ,RightRotX,RightRotY,RightRotZ,LeftPosX,LeftPosY,LeftPosZ,LeftRotX,LeftRotY,LeftRotZ
1,1770892232.5787,defaultActivity,0,1.319659,1.679409,1.031001,350.621700,288.327700,359.526800,1.172774,1.226465,1.181304,298.156200,291.383500,358.921400,1.161382,1.221221,0.900142,285.223800,267.223900,25.800050
2,1770892232.5914,defaultActivity,0,1.317958,1.678035,1.032833,351.215100,287.503000,359.603700,1.170031,1.227766,1.183155,297.632800,291.433100,358.635100,1.161195,1.221192,0.900201,285.156900,267.507400,25.319900
3,1770892232.6233,defaultActivity,0,1.317426,1.677964,1.033743,351.279100,287.462500,359.660000,1.168827,1.228409,1.184328,297.431500,291.069000,358.854600,1.160814,1.221449,0.900342,285.162400,267.685200,24.765000
4,1770892232.6245,defaultActivity,0,1.317426,1.677964,1.033743,351.279100,287.462500,359.660000,1.168827,1.228409,1.184328,297.431500,291.069000,358.854600,1.160814,1.221449,0.900342,285.162400,267.685200,24.765000
5,1770892232.6600,defaultActivity,0,1.316646,1.677739,1.035387,351.602000,287.039300,359.792000,1.166853,1.229711,1.186526,297.206100,291.074200,359.140600,1.161064,1.222220,0.901552,285.035800,266.950700,24.442960
6,1770892232.7001,defaultActivity,0,1.315630,1.677368,1.036841,351.762200,286.713600,359.986500,1.165872,1.231039,1.188498,296.785600,291.926800,358.212000,1.161876,1.222636,0.903861,283.601400,268.574000,21.688440
7,1770892232.7013,defaultActivity,0,1.315630,1.677368,1.036841,351.762200,286.713600,359.986500,1.165872,1.231039,1.188498,296.785600,291.926800,358.212000,1.161876,1.222636,0.903861,283.601400,268.574000,21.688440
8,1770892232.7375,defaultActivity,0,1.314457,1.676444,1.038030,352.119600,286.149700,0.159904,1.165115,1.231916,1.190048,296.945600,292.963500,356.628400,1.162621,1.223127,0.909057,285.725600,264.750200,27.398400
9,1770892232.7387,defaultActivity,0,1.314457,1.676444,1.038030,352.119600,286.149700,0.159904,1.165115,1.231916,1.190048,296.945600,292.963500,356.628400,1.162621,1.223127,0.909057,285.725600,264.750200,27.398400
10,1770892232.7755,defaultActivity,0,1.313533,1.675733,1.039453,352.423600,285.620000,0.422004,1.164871,1.231409,1.190354,297.100800,291.751800,357.782000,1.161962,1.223282,0.910776,285.368900,266.457600,27.808260
11,1770892232.7766,defaultActivity,0,1.313533,1.675733,1.039453,352.423600,285.620000,0.422004,1.164871,1.231409,1.190354,297.100800,291.751800,357.782000,1.161962,1.223282,0.910776,285.368900,266.457600,27.808260
12,1770892232.8183,defaultActivity,0,1.313334,1.676322,1.041017,352.417700,285.415400,0.567726,1.164963,1.230987,1.190756,296.785700,291.204900,358.446500,1.159359,1.223379,0.911643,284.502800,275.592000,16.330270
13,1770892232.8194,defaultActivity,0,1.313334,1.676322,1.041017,352.417700,285.415400,0.567726,1.164963,1.230987,1.190756,296.785700,291.204900,358.446500,1.159359,1.223379,0.911643,284.502800,275.592000,16.330270
14,1770892232.8590,defaultActivity,0,1.313145,1.675866,1.042920,352.524400,285.368000,0.561989,1.164983,1.230418,1.191456,296.799700,290.593100,358.463100,1.157235,1.224609,0.911793,285.211600,272.914500,19.691090
15,1770892232.8602,defaultActivity,0,1.313145,1.675866,1.042920,352.524400,285.368000,0.561989,1.164983,1.230418,1.191456,296.799700,290.593100,358.463100,1.157235,1.224609,0.911793,285.211600,272.914500,19.691090
16,1770892232.9010,defaultActivity,0,1.311590,1.674871,1.044972,353.218000,285.509300,0.446112,1.164737,1.229612,1.193463,296.936100,290.038200,359.501700,1.156075,1.225395,0.912324,284.805900,269.463400,22.988470
17,1770892232.9021,defaultActivity,0,1.311590,1.674871,1.044972,353.218000,285.509300,0.446112,1.164737,1.229612,1.193463,296.936100,290.038200,359.501700,1.156075,1.225395,0.912324,284.805900,269.463400,22.988470
18,1770892232.9492,defaultActivity,0,1.308540,1.669982,1.048063,356.104600,285.567000,0.468379,1.165125,1.229253,1.197125,297.520200,292.791700,356.637700,1.154269,1.224456,0.914145,284.710000,270.382900,22.150640
19,1770892232.9507,defaultActivity,0,1.308540,1.669982,1.048063,356.104600,285.567000,0.468379,1.165125,1.229253,1.197125,297.520200,292.791700,356.637700,1.154269,1.224456,0.914145,284.710000,270.382900,22.150640
20,1770892232.9517,defaultActivity,0,1.308540,1.669982,1.048063,356.104600,285.567000,0.468379,1.165125,1.229253,1.197125,297.520200,292.791700,356.637700,1.154269,1.224456,0.914145,284.710000,270.382900,22.150640
21,1770892232.9879,defaultActivity,0,1.305966,1.663933,1.050609,359.567600,285.645300,0.583036,1.165663,1.228501,1.198620,297.620600,292.339900,357.315000,1.152860,1.223798,0.917690,285.751000,270.590700,21.793370
22,1770892232.9888,defaultActivity,0,1.305966,1.663933,1.050609,359.567600,285.645300,0.583036,1.165663,1.228501,1.198620,297.620600,292.339900,357.315000,1.152860,1.223798,0.917690,285.751000,270.590700,21.793370
