Index,Timestamp,Activity,LogNumber,HeadPosX,HeadPosY,HeadPosZ,HeadRotX,HeadRotY,HeadRotZ,RightPosX,RightPosY,RightPosZ,RightRotX,RightRotY,RightRotZ,LeftPosX,LeftPosY,LeftPosZ,LeftRotX,LeftRotY,LeftRotZ
1,1770894018.1775,defaultActivity,0,0.750831,1.651262,-0.511990,2.856846,267.941600,358.076300,0.580762,1.114320,-0.427522,311.793200,274.499700,357.892300,0.605631,0.978904,-0.622940,328.239000,273.504800,9.578693
2,1770894018.1842,defaultActivity,0,0.750969,1.651029,-0.512623,2.980397,267.948700,358.124500,0.580657,1.114226,-0.427787,311.766800,274.326200,358.069700,0.605635,0.978916,-0.622983,328.244100,273.513700,9.578963
3,1770894018.2206,defaultActivity,0,0.750996,1.651078,-0.512964,3.007629,267.831500,358.137200,0.580467,1.114230,-0.428224,311.777600,274.097400,358.254500,0.605711,0.978873,-0.623351,328.258500,273.497800,9.509596
4,1770894018.2214,defaultActivity,0,0.750996,1.651078,-0.512964,3.007629,267.831500,358.137200,0.580467,1.114230,-0.428224,311.777600,274.097400,358.254500,0.605711,0.978873,-0.623351,328.258500,273.497800,9.509596
5,1770894018.2613,defaultActivity,0,0.751052,1.651018,-0.513650,3.013032,267.624800,358.216800,0.580226,1.114389,-0.428918,311.656600,273.870500,358.349300,0.605849,0.978989,-0.623997,328.262900,273.267200,9.634387
6,1770894018.2620,defaultActivity,0,0.751052,1.651018,-0.513650,3.013032,267.624800,358.216800,0.580226,1.114389,-0.428918,311.656600,273.870500,358.349300,0.605849,0.978989,-0.623997,328.262900,273.267200,9.634387
7,1770894018.3018,defaultActivity,0,0.750871,1.650896,-0.514416,3.143218,267.403700,358.290000,0.579980,1.114599,-0.429595,311.560800,273.773100,358.205000,0.605990,0.979010,-0.624656,328.282600,273.133800,9.566117
8,1770894018.3027,defaultActivity,0,0.750871,1.650896,-0.514416,3.143218,267.403700,358.290000,0.579980,1.114599,-0.429595,311.560800,273.773100,358.205000,0.605990,0.979010,-0.624656,328.282600,273.133800,9.566117
9,1770894018.3421,defaultActivity,0,0.750781,1.650750,-0.515042,3.176341,267.186800,358.349800,0.579631,1.114831,-0.430339,311.540800,273.560900,358.375700,0.606213,0.979060,-0.625199,328.272300,272.934800,9.691082
10,1770894018.3434,defaultActivity,0,0.750781,1.650750,-0.515042,3.176341,267.186800,358.349800,0.579631,1.114831,-0.430339,311.540800,273.560900,358.375700,0.606213,0.979060,-0.625199,328.272300,272.934800,9.691082
