Index,Timestamp,Activity,LogNumber,HeadPosX,HeadPosY,HeadPosZ,HeadRotX,HeadRotY,HeadRotZ,RightPosX,RightPosY,RightPosZ,RightRotX,RightRotY,RightRotZ,LeftPosX,LeftPosY,LeftPosZ,LeftRotX,LeftRotY,LeftRotZ
1,1770895922.9954,defaultActivity,0,-0.571161,1.552420,0.469484,355.696200,97.992260,3.719668,-0.385985,1.102469,0.351064,307.499000,108.023900,345.783000,-0.372223,1.104094,0.493352,302.621200,84.875660,9.896962
2,1770895923.0172,defaultActivity,0,-0.569650,1.550054,0.469078,356.707100,97.914480,3.666813,-0.386196,1.102716,0.350856,307.515100,108.297600,345.174100,-0.372203,1.104136,0.492821,302.059900,86.325610,8.107750
3,1770895923.0181,defaultActivity,0,-0.569650,1.550054,0.469078,356.707100,97.914480,3.666813,-0.386196,1.102716,0.350856,307.515100,108.297600,345.174100,-0.372203,1.104136,0.492821,302.059900,86.325610,8.107750
4,1770895923.0601,defaultActivity,0,-0.563835,1.543132,0.467655,0.848643,97.659700,3.733935,-0.386779,1.104100,0.350473,307.541900,108.398500,344.718100,-0.372793,1.105514,0.490641,300.433200,88.505230,5.611187
5,1770895923.0611,defaultActivity,0,-0.563835,1.543132,0.467655,0.848643,97.659700,3.733935,-0.386779,1.104100,0.350473,307.541900,108.398500,344.718100,-0.372793,1.105514,0.490641,300.433200,88.505230,5.611187
6,1770895923.0996,defaultActivity,0,-0.561097,1.539965,0.466556,2.401533,97.611880,3.410387,-0.389238,1.104992,0.350660,305.321700,107.916400,344.253100,-0.374967,1.108075,0.490210,300.687700,85.217090,10.270760
7,1770895923.1011,defaultActivity,0,-0.561097,1.539965,0.466556,2.401533,97.611880,3.410387,-0.389238,1.104992,0.350660,305.321700,107.916400,344.253100,-0.374967,1.108075,0.490210,300.687700,85.217090,10.270760
8,1770895923.1417,defaultActivity,0,-0.560028,1.541035,0.465740,2.340395,97.465440,3.112099,-0.389296,1.103715,0.351343,305.308100,106.703200,346.454800,-0.376880,1.107746,0.489397,299.391800,85.278470,10.647580
9,1770895923.1427,defaultActivity,0,-0.560028,1.541035,0.465740,2.340395,97.465440,3.112099,-0.389296,1.103715,0.351343,305.308100,106.703200,346.454800,-0.376880,1.107746,0.489397,299.391800,85.278470,10.647580
10,1770895923.1836,defaultActivity,0,-0.560511,1.542825,0.465405,1.144068,97.593000,3.070167,-0.389518,1.101516,0.352096,306.875900,107.447400,345.142000,-0.377532,1.105718,0.488978,299.489000,87.648310,8.783307
11,1770895923.1848,defaultActivity,0,-0.560511,1.542825,0.465405,1.144068,97.593000,3.070167,-0.389518,1.101516,0.352096,306.875900,107.447400,345.142000,-0.377532,1.105718,0.488978,299.489000,87.648310,8.783307
12,1770895923.2186,defaultActivity,0,-0.561370,1.544744,0.465137,359.967800,97.783470,3.272816,-0.389182,1.099513,0.352543,307.314100,109.093600,342.046400,-0.376937,1.103761,0.488513,299.977500,86.937080,9.030734
13,1770895923.2198,defaultActivity,0,-0.561370,1.544744,0.465137,359.967800,97.783470,3.272816,-0.389182,1.099513,0.352543,307.314100,109.093600,342.046400,-0.376937,1.103761,0.488513,299.977500,86.937080,9.030734
14,1770895923.2570,defaultActivity,0,-0.562268,1.546294,0.464955,359.379800,98.073900,3.124125,-0.387796,1.097737,0.353760,307.361300,107.562500,344.433100,-0.375385,1.102073,0.487486,302.808000,88.522480,7.687683
15,1770895923.2585,defaultActivity,0,-0.562268,1.546294,0.464955,359.379800,98.073900,3.124125,-0.387796,1.097737,0.353760,307.361300,107.562500,344.433100,-0.375385,1.102073,0.487486,302.808000,88.522480,7.687683
16,1770895923.2947,defaultActivity,0,-0.562258,1.546081,0.464148,359.013600,98.475290,3.133771,-0.386256,1.097970,0.354044,307.512600,104.703200,348.255600,-0.373701,1.102044,0.487784,302.547000,89.275780,6.488385
17,1770895923.3363,defaultActivity,0,-0.562293,1.546348,0.463760,0.008839,98.830800,2.715074,-0.386358,1.100120,0.353164,306.806100,107.228800,344.509900,-0.371143,1.103350,0.487995,301.638200,88.083280,6.476233
18,1770895923.3374,defaultActivity,0,-0.562293,1.546348,0.463760,0.008839,98.830800,2.715074,-0.386358,1.100120,0.353164,306.806100,107.228800,344.509900,-0.371143,1.103350,0.487995,301.638200,88.083280,6.476233
19,1770895923.3702,defaultActivity,0,-0.561016,1.545883,0.463153,0.151230,99.108460,2.539580,-0.386078,1.101271,0.353409,306.316700,107.406700,344.132100,-0.370404,1.105848,0.488314,302.468000,86.511610,8.212630
20,1770895923.3713,defaultActivity,0,-0.561016,1.545883,0.463153,0.151230,99.108460,2.539580,-0.386078,1.101271,0.353409,306.316700,107.406700,344.132100,-0.370404,1.105848,0.488314,302.468000,86.511610,8.212630
21,1770895923.4075,defaultActivity,0,-0.559307,1.544072,0.462757,0.705867,99.189470,2.645232,-0.386112,1.101440,0.353745,306.446500,106.381200,346.643200,-0.370918,1.106653,0.488108,301.422400,86.553630,8.367198
22,1770895923.4086,defaultActivity,0,-0.559307,1.544072,0.462757,0.705867,99.189470,2.645232,-0.386112,1.101440,0.353745,306.446500,106.381200,346.643200,-0.370918,1.106653,0.488108,301.422400,86.553630,8.367198
23,1770895923.4479,defaultActivity,0,-0.558806,1.542219,0.462452,2.305999,99.147600,2.583679,-0.386794,1.098317,0.354783,307.796100,107.118200,346.912000,-0.372358,1.106336,0.487033,301.122600,89.159500,6.236006
24,1770895923.4489,defaultActivity,0,-0.558806,1.542219,0.462452,2.305999,99.147600,2.583679,-0.386794,1.098317,0.354783,307.796100,107.118200,346.912000,-0.372358,1.106336,0.487033,301.122600,89.159500,6.236006
25,1770895923.4810,defaultActivity,0,-0.558130,1.541009,0.462145,3.000292,99.267640,2.362884,-0.387665,1.096368,0.356892,310.421000,103.685000,352.005500,-0.374643,1.105701,0.485980,301.585900,89.650160,6.922971
26,1770895923.4820,defaultActivity,0,-0.558130,1.541009,0.462145,3.000292,99.267640,2.362884,-0.387665,1.096368,0.356892,310.421000,103.685000,352.005500,-0.374643,1.105701,0.485980,301.585900,89.650160,6.922971
27,1770895923.5185,defaultActivity,0,-0.558301,1.541342,0.461746,2.937911,99.308820,2.432774,-0.389842,1.094878,0.357035,309.776900,101.223100,352.941600,-0.376622,1.104542,0.484655,301.235400,92.235130,4.660584
28,1770895923.5196,defaultActivity,0,-0.558301,1.541342,0.461746,2.937911,99.308820,2.432774,-0.389842,1.094878,0.357035,309.776900,101.223100,352.941600,-0.376622,1.104542,0.484655,301.235400,92.235130,4.660584
