Index,Timestamp,Activity,LogNumber,HeadPosX,HeadPosY,HeadPosZ,HeadRotX,HeadRotY,HeadRotZ,RightPosX,RightPosY,RightPosZ,RightRotX,RightRotY,RightRotZ,LeftPosX,LeftPosY,LeftPosZ,LeftRotX,LeftRotY,LeftRotZ
1,1770892948.6522,defaultActivity,0,1.453635,1.604215,1.350416,356.658000,222.513300,356.307600,1.276126,1.043205,1.307655,329.972200,238.947400,340.579100,1.404096,0.990088,1.195396,328.883100,211.139600,35.413830
2,1770892948.7707,defaultActivity,0,1.442652,1.594564,1.349861,3.052806,222.383500,352.479800,1.282052,1.038066,1.307025,332.293200,233.589500,342.347700,1.401208,0.990229,1.195816,328.013000,212.405200,34.252890
3,1770892948.8008,defaultActivity,0,1.441587,1.594232,1.349631,3.250949,222.509100,352.301400,1.282408,1.037821,1.306970,332.381300,233.400000,342.358400,1.401490,0.990088,1.195758,328.049700,212.402300,34.212310
4,1770892948.8418,defaultActivity,0,1.438377,1.594229,1.348977,3.421268,222.919100,352.069900,1.283365,1.036529,1.307431,332.643600,233.070100,342.467200,1.402279,0.989060,1.196273,328.283500,212.308100,34.073220
5,1770892948.8428,defaultActivity,0,1.438377,1.594229,1.348977,3.421268,222.919100,352.069900,1.283365,1.036529,1.307431,332.643600,233.070100,342.467200,1.402279,0.989060,1.196273,328.283500,212.308100,34.073220
6,1770892948.8831,defaultActivity,0,1.437397,1.593995,1.348617,3.407307,223.008000,352.032700,1.284307,1.034892,1.308259,333.229400,232.854900,342.476200,1.403005,0.987668,1.197914,328.798500,212.519100,33.994330
7,1770892948.8845,defaultActivity,0,1.437397,1.593995,1.348617,3.407307,223.008000,352.032700,1.284307,1.034892,1.308259,333.229400,232.854900,342.476200,1.403005,0.987668,1.197914,328.798500,212.519100,33.994330
8,1770892948.9264,defaultActivity,0,1.437149,1.593450,1.348567,3.464261,222.897900,352.082900,1.284216,1.034413,1.308486,333.551800,233.010800,342.324800,1.403349,0.987528,1.198596,328.989600,212.863200,33.966880
9,1770892948.9277,defaultActivity,0,1.437149,1.593450,1.348567,3.464261,222.897900,352.082900,1.284216,1.034413,1.308486,333.551800,233.010800,342.324800,1.403349,0.987528,1.198596,328.989600,212.863200,33.966880
10,1770892948.9705,defaultActivity,0,1.436697,1.593317,1.348407,3.835660,222.533200,352.140000,1.283841,1.034717,1.308066,333.596200,233.110300,342.211500,1.402948,0.987834,1.198025,328.670400,212.701800,33.871390
11,1770892948.9719,defaultActivity,0,1.436697,1.593317,1.348407,3.835660,222.533200,352.140000,1.283841,1.034717,1.308066,333.596200,233.110300,342.211500,1.402948,0.987834,1.198025,328.670400,212.701800,33.871390
