Username,Activity,Threshold,Scaler,LogNumber,NumberOfSegments
grims2,ladderActivity,0.55,standard,1,9
grims2,ladderActivity,0.55,standard,2,13
grims2,ladderActivity,0.55,standard,3,10
pedro,ladderActivity,0.55,standard,1,6
pedro,ladderActivity,0.55,standard,2,4
pedro,ladderActivity,0.55,standard,3,3
xxx,ladderActivity,0.55,standard,1,7
xxx,ladderActivity,0.55,standard,2,8
xxx,ladderActivity,0.55,standard,3,5
slasto,ladderActivity,0.55,standard,2,20
slasto,ladderActivity,0.55,standard,3,11
slasto,ladderActivity,0.55,standard,5,7
minestra,ladderActivity,0.55,standard,1,12
minestra,ladderActivity,0.55,standard,2,2
minestra,ladderActivity,0.55,standard,3,4
dan,ladderActivity,0.55,standard,1,7
dan,ladderActivity,0.55,standard,2,14
dan,ladderActivity,0.55,standard,3,12
pabluccio,ladderActivity,0.55,standard,1,14
pabluccio,ladderActivity,0.55,standard,2,20
pabluccio,ladderActivity,0.55,standard,3,14
SADAX,ladderActivity,0.55,standard,1,13
SADAX,ladderActivity,0.55,standard,2,14
SADAX,ladderActivity,0.55,standard,3,12
grims,ladderActivity,0.55,standard,1,12
grims,ladderActivity,0.55,standard,2,11
grims,ladderActivity,0.55,standard,3,12
Pa0l0l0,ladderActivity,0.55,standard,1,1
Pa0l0l0,ladderActivity,0.55,standard,2,12
Pa0l0l0,ladderActivity,0.55,standard,3,13
Pa0l0l0,ladderActivity,0.55,standard,4,1
Pa0l0l0,ladderActivity,0.55,standard,5,11
peppe,ladderActivity,0.55,standard,1,18
peppe,ladderActivity,0.55,standard,2,10
peppe,ladderActivity,0.55,standard,3,14
bigw,ladderActivity,0.55,standard,1,1
bigw,ladderActivity,0.55,standard,3,12
bigw,ladderActivity,0.55,standard,4,11
qwe,ladderActivity,0.55,standard,2,8
qwe,ladderActivity,0.55,standard,3,20
qwe,ladderActivity,0.55,standard,5,10
ocran,ladderActivity,0.55,standard,1,3
ocran,ladderActivity,0.55,standard,2,3
ocran,ladderActivity,0.55,standard,3,7
