Username,Activity,Threshold,Scaler,LogNumber,NumberOfSegments
grims2,sphereActivity,0.75,standard,1,2
grims2,sphereActivity,0.75,standard,2,1
grims2,sphereActivity,0.75,standard,3,1
grims2,sphereActivity,0.75,standard,4,1
grims2,sphereActivity,0.75,standard,5,1
grims2,sphereActivity,0.75,standard,6,2
grims2,sphereActivity,0.75,standard,7,1
grims2,sphereActivity,0.75,standard,8,2
grims2,sphereActivity,0.75,standard,9,1
grims2,sphereActivity,0.75,standard,10,3
pedro,sphereActivity,0.75,standard,1,2
pedro,sphereActivity,0.75,standard,3,1
pedro,sphereActivity,0.75,standard,4,4
xxx,sphereActivity,0.75,standard,1,3
xxx,sphereActivity,0.75,standard,2,1
xxx,sphereActivity,0.75,standard,3,1
xxx,sphereActivity,0.75,standard,4,3
xxx,sphereActivity,0.75,standard,5,2
xxx,sphereActivity,0.75,standard,6,3
slasto,sphereActivity,0.75,standard,2,3
slasto,sphereActivity,0.75,standard,3,3
slasto,sphereActivity,0.75,standard,4,2
slasto,sphereActivity,0.75,standard,6,1
slasto,sphereActivity,0.75,standard,7,3
slasto,sphereActivity,0.75,standard,8,2
minestra,sphereActivity,0.75,standard,1,1
minestra,sphereActivity,0.75,standard,2,1
minestra,sphereActivity,0.75,standard,3,1
minestra,sphereActivity,0.75,standard,4,2
minestra,sphereActivity,0.75,standard,5,1
minestra,sphereActivity,0.75,standard,6,2
dan,sphereActivity,0.75,standard,1,1
dan,sphereActivity,0.75,standard,2,2
dan,sphereActivity,0.75,standard,3,3
dan,sphereActivity,0.75,standard,4,1
dan,sphereActivity,0.75,standard,5,4
pabluccio,sphereActivity,0.75,standard,1,1
pabluccio,sphereActivity,0.75,standard,2,3
pabluccio,sphereActivity,0.75,standard,3,3
pabluccio,sphereActivity,0.75,standard,4,1
SADAX,sphereActivity,0.75,standard,1,4
SADAX,sphereActivity,0.75,standard,2,2
SADAX,sphereActivity,0.75,standard,3,1
grims,sphereActivity,0.75,standard,1,1
grims,sphereActivity,0.75,standard,2,1
grims,sphereActivity,0.75,standard,3,2
grims,sphereActivity,0.75,standard,4,3
grims,sphereActivity,0.75,standard,5,2
grims,sphereActivity,0.75,standard,6,3
Pa0l0l0,sphereActivity,0.75,standard,1,2
Pa0l0l0,sphereActivity,0.75,standard,2,3
Pa0l0l0,sphereActivity,0.75,standard,3,3
Pa0l0l0,sphereActivity,0.75,standard,4,2
Pa0l0l0,sphereActivity,0.75,standard,5,2
Pa0l0l0,sphereActivity,0.75,standard,6,3
peppe,sphereActivity,0.75,standard,1,1
peppe,sphereActivity,0.75,standard,2,1
peppe,sphereActivity,0.75,standard,3,2
bigw,sphereActivity,0.75,standard,1,2
bigw,sphereActivity,0.75,standard,2,1
bigw,sphereActivity,0.75,standard,3,1
bigw,sphereActivity,0.75,standard,4,2
bigw,sphereActivity,0.75,standard,5,1
bigw,sphereActivity,0.75,standard,7,3
qwe,sphereActivity,0.75,standard,1,2
qwe,sphereActivity,0.75,standard,2,4
qwe,sphereActivity,0.75,standard,3,3
qwe,sphereActivity,0.75,standard,4,2
qwe,sphereActivity,0.75,standard,6,4
ocran,sphereActivity,0.75,standard,1,2
ocran,sphereActivity,0.75,standard,2,2
ocran,sphereActivity,0.75,standard,3,2
