Username,Activity,Threshold,Scaler,LogNumber,NumberOfSegments
grims2,trashActivity,0.6,standard,1,7
grims2,trashActivity,0.6,standard,2,7
grims2,trashActivity,0.6,standard,3,4
pedro,trashActivity,0.6,standard,1,5
pedro,trashActivity,0.6,standard,2,6
pedro,trashActivity,0.6,standard,3,5
xxx,trashActivity,0.6,standard,1,5
xxx,trashActivity,0.6,standard,2,3
xxx,trashActivity,0.6,standard,3,7
slasto,trashActivity,0.6,standard,1,5
slasto,trashActivity,0.6,standard,2,7
minestra,trashActivity,0.6,standard,1,5
minestra,trashActivity,0.6,standard,2,9
minestra,trashActivity,0.6,standard,3,5
dan,trashActivity,0.6,standard,1,6
dan,trashActivity,0.6,standard,2,2
dan,trashActivity,0.6,standard,3,3
pabluccio,trashActivity,0.6,standard,1,7
pabluccio,trashActivity,0.6,standard,2,7
pabluccio,trashActivity,0.6,standard,3,12
SADAX,trashActivity,0.6,standard,1,4
SADAX,trashActivity,0.6,standard,2,8
SADAX,trashActivity,0.6,standard,3,6
grims,trashActivity,0.6,standard,1,11
grims,trashActivity,0.6,standard,2,5
grims,trashActivity,0.6,standard,3,7
Pa0l0l0,trashActivity,0.6,standard,1,1
Pa0l0l0,trashActivity,0.6,standard,2,6
Pa0l0l0,trashActivity,0.6,standard,3,7
peppe,trashActivity,0.6,standard,1,4
peppe,trashActivity,0.6,standard,2,1
peppe,trashActivity,0.6,standard,3,3
bigw,trashActivity,0.6,standard,1,11
bigw,trashActivity,0.6,standard,3,10
qwe,trashActivity,0.6,standard,2,7
ocran,trashActivity,0.6,standard,2,6
ocran,trashActivity,0.6,standard,3,4
