Username,Features,Target_Activity,TestActivity,Target_Threshold,Test_Threshold,eps,min_samples,scaler,LogNumber,N_states,Ghost_Count,Sequence_Probability,Normalized,LogProb,Length,AvgLogProb
grims3,rotation,trashActivity,trashActivity,0.6,0.6,0.15,5,standard,1,15,12,1.2822792145753876e-58,1.0,-133.30129626278966,15,-8.886753084185978
grims3,rotation,trashActivity,trashActivity,0.6,0.6,0.15,5,standard,2,18,15,0.0,0.0,-inf,18,-inf
grims3,rotation,trashActivity,trashActivity,0.6,0.6,0.15,5,standard,3,22,11,0.0,0.0,-inf,22,-inf
grims3,rotation,sphereActivity,trashActivity,0.75,0.6,0.2,5,standard,1,15,11,0.0,0.0,-inf,15,-inf
grims3,rotation,sphereActivity,trashActivity,0.75,0.6,0.2,5,standard,2,18,13,0.0,0.0,-inf,18,-inf
grims3,rotation,sphereActivity,trashActivity,0.75,0.6,0.2,5,standard,3,22,18,0.0,0.0,-inf,22,-inf
grims3,rotation,sphereActivity,sphereActivity,0.75,0.75,0.2,5,standard,1,1,1,0.0,0.0,-inf,1,-inf
grims3,rotation,sphereActivity,sphereActivity,0.75,0.75,0.2,5,standard,2,4,1,0.0,0.0,-inf,4,-inf
grims3,rotation,sphereActivity,sphereActivity,0.75,0.75,0.2,5,standard,3,5,0,0.0,0.0,-inf,5,-inf
grims3,rotation,sphereActivity,sphereActivity,0.75,0.75,0.2,5,standard,4,3,1,0.0006637559403001,0.2498908945396719,-7.317596035843458,3,-2.439198678614486
grims3,rotation,sphereActivity,sphereActivity,0.75,0.75,0.2,5,standard,5,4,0,0.0,0.0,-inf,4,-inf
grims3,rotation,sphereActivity,sphereActivity,0.75,0.75,0.2,5,standard,6,5,3,1.159216265887793e-06,0.0004364218413121,-13.667766414044085,5,-2.733553282808817
grims3,rotation,sphereActivity,sphereActivity,0.75,0.75,0.2,5,standard,7,3,0,0.0,0.0,-inf,3,-inf
grims3,rotation,sphereActivity,sphereActivity,0.75,0.75,0.2,5,standard,8,3,1,0.0019912678209003,0.749672683619016,-6.218983747175348,3,-2.072994582391783
grims3,rotation,sphereActivity,sphereActivity,0.75,0.75,0.2,5,standard,9,1,0,0.0,0.0,-inf,1,-inf
grims3,rotation,sphereActivity,ladderActivity,0.75,0.6,0.2,5,standard,1,12,9,0.0,0.0,-inf,12,-inf
grims3,rotation,sphereActivity,ladderActivity,0.75,0.6,0.2,5,standard,2,16,13,0.0,0.0,-inf,16,-inf
grims3,rotation,sphereActivity,ladderActivity,0.75,0.6,0.2,5,standard,3,13,10,0.0,0.0,-inf,13,-inf
grims3,rotation,sphereActivity,pilotActivity,0.75,0.6,0.2,5,standard,1,15,9,0.0,0.0,-inf,15,-inf
grims3,rotation,sphereActivity,sphereActivity,0.7,0.7,0.2,9,standard,1,1,1,0.0,0.0,-inf,1,-inf
grims3,rotation,sphereActivity,sphereActivity,0.7,0.7,0.2,9,standard,2,4,0,0.0,0.0,-inf,4,-inf
grims3,rotation,sphereActivity,sphereActivity,0.7,0.7,0.2,9,standard,3,5,2,0.0,0.0,-inf,5,-inf
grims3,rotation,sphereActivity,sphereActivity,0.7,0.7,0.2,9,standard,4,3,1,0.0004738963694271,0.0626293748277348,-7.654521890072813,3,-2.5515072966909376
grims3,rotation,sphereActivity,sphereActivity,0.7,0.7,0.2,9,standard,5,4,0,0.0,0.0,-inf,4,-inf
grims3,rotation,sphereActivity,sphereActivity,0.7,0.7,0.2,9,standard,6,5,2,0.0,0.0,-inf,5,-inf
grims3,rotation,sphereActivity,sphereActivity,0.7,0.7,0.2,9,standard,7,3,1,0.0004738963694271,0.0626293748277348,-7.654521890072813,3,-2.5515072966909376
grims3,rotation,sphereActivity,sphereActivity,0.7,0.7,0.2,9,standard,8,5,1,0.0,0.0,-inf,5,-inf
