Username,Features,Target_Activity,TestActivity,Target_Threshold,Test_Threshold,eps,min_samples,scaler,LogNumber,N_states,Ghost_Count,Ghost_Exp,Sequence_Probability,Normalized,LogProb,Length,AvgLogProb
grims3,rotation,sphereActivity,sphereActivity,0.7,0.7,0.25,4,standard,1,1,0,4,0.0,0.0,-inf,1,-inf
grims3,rotation,sphereActivity,sphereActivity,0.7,0.7,0.25,4,standard,2,4,0,4,0.0038128215078861,0.1210944871283953,-5.569385810666826,4,-1.3923464526667064
grims3,rotation,sphereActivity,sphereActivity,0.7,0.7,0.25,4,standard,3,5,0,4,0.0021107580504441,0.0670372749004907,-6.160708130401253,5,-1.232141626080251
grims3,rotation,sphereActivity,sphereActivity,0.7,0.7,0.25,4,standard,4,3,0,4,0.0025867100585436,0.0821534203060205,-5.957368458385645,3,-1.9857894861285483
grims3,rotation,sphereActivity,sphereActivity,0.7,0.7,0.25,4,standard,5,4,0,4,0.0027708514808362,0.0880017169140554,-5.88860061221499,4,-1.4721501530537475
grims3,rotation,sphereActivity,sphereActivity,0.7,0.7,0.25,4,standard,6,5,0,4,0.0032582221984863,0.1034805183667769,-5.726573570241938,5,-1.1453147140483877
grims3,rotation,sphereActivity,sphereActivity,0.7,0.7,0.25,4,standard,7,3,0,4,0.0011614401858304,0.0368871197727317,-6.758094504427732,3,-2.2526981681425773
grims3,rotation,sphereActivity,sphereActivity,0.7,0.7,0.25,4,standard,8,5,0,4,0.0014998165675571,0.047633889406929,-6.502412466646997,5,-1.3004824933293997
grims3,rotation,sphereActivity,sphereActivity,0.7,0.7,0.25,4,standard,9,2,0,4,0.0142857142857142,0.4537115732046002,-4.24849524204936,2,-2.12424762102468
grims3,rotation,sphereActivity,sphereActivity,0.7,0.7,0.15,6,standard,1,1,1,4,0.0,0.0,-inf,1,-inf
grims3,rotation,sphereActivity,sphereActivity,0.7,0.7,0.15,6,standard,2,4,1,4,0.0001758599098387,0.0225975565765741,-8.64582284670093,4,-2.1614557116752326
grims3,rotation,sphereActivity,sphereActivity,0.7,0.7,0.15,6,standard,3,5,2,4,1.109156200458232e-06,0.0001425237850689,-13.711911011490542,5,-2.7423822022981086
grims3,rotation,sphereActivity,sphereActivity,0.7,0.7,0.15,6,standard,4,3,1,4,4.015230745145964e-05,0.0051594706271945,-10.122830648451783,3,-3.3742768828172616
grims3,rotation,sphereActivity,sphereActivity,0.7,0.7,0.15,6,standard,5,4,1,4,0.0009605793394556,0.1234320317207832,-6.947973976922775,4,-1.7369934942306935
grims3,rotation,sphereActivity,sphereActivity,0.7,0.7,0.15,6,standard,6,5,1,4,3.866696789015864e-05,0.0049686082253959,-10.16052486529364,5,-2.032104973058728
grims3,rotation,sphereActivity,sphereActivity,0.7,0.7,0.15,6,standard,7,3,1,4,4.015230745145964e-05,0.0051594706271945,-10.122830648451783,3,-3.3742768828172616
grims3,rotation,sphereActivity,sphereActivity,0.7,0.7,0.15,6,standard,8,5,1,4,0.0,0.0,-inf,5,-inf
