Username,Activity,Threshold,Scaler,LogNumber,NumberOfSegments
grims2,ladderActivity,0.6,standard,1,16
grims2,ladderActivity,0.6,standard,2,14
grims2,ladderActivity,0.6,standard,3,16
pedro,ladderActivity,0.6,standard,1,12
pedro,ladderActivity,0.6,standard,2,5
pedro,ladderActivity,0.6,standard,3,6
xxx,ladderActivity,0.6,standard,1,11
xxx,ladderActivity,0.6,standard,2,11
xxx,ladderActivity,0.6,standard,3,7
slasto,ladderActivity,0.6,standard,2,12
slasto,ladderActivity,0.6,standard,3,10
slasto,ladderActivity,0.6,standard,5,9
minestra,ladderActivity,0.6,standard,1,7
minestra,ladderActivity,0.6,standard,2,2
minestra,ladderActivity,0.6,standard,3,4
dan,ladderActivity,0.6,standard,1,38
dan,ladderActivity,0.6,standard,2,20
dan,ladderActivity,0.6,standard,3,18
pabluccio,ladderActivity,0.6,standard,1,16
pabluccio,ladderActivity,0.6,standard,2,15
pabluccio,ladderActivity,0.6,standard,3,18
SADAX,ladderActivity,0.6,standard,1,13
SADAX,ladderActivity,0.6,standard,2,8
SADAX,ladderActivity,0.6,standard,3,13
grims,ladderActivity,0.6,standard,1,17
grims,ladderActivity,0.6,standard,2,15
grims,ladderActivity,0.6,standard,3,20
Pa0l0l0,ladderActivity,0.6,standard,1,4
Pa0l0l0,ladderActivity,0.6,standard,2,15
Pa0l0l0,ladderActivity,0.6,standard,3,14
Pa0l0l0,ladderActivity,0.6,standard,4,1
Pa0l0l0,ladderActivity,0.6,standard,5,11
peppe,ladderActivity,0.6,standard,1,19
peppe,ladderActivity,0.6,standard,2,16
peppe,ladderActivity,0.6,standard,3,10
bigw,ladderActivity,0.6,standard,1,1
bigw,ladderActivity,0.6,standard,3,13
bigw,ladderActivity,0.6,standard,4,11
qwe,ladderActivity,0.6,standard,2,11
qwe,ladderActivity,0.6,standard,3,18
qwe,ladderActivity,0.6,standard,5,15
ocran,ladderActivity,0.6,standard,1,3
ocran,ladderActivity,0.6,standard,2,6
ocran,ladderActivity,0.6,standard,3,6
