Username,Activity,Threshold,Scaler,LogNumber,NumberOfSegments
grims2,sphereActivity,0.7,standard,1,1
grims2,sphereActivity,0.7,standard,2,3
grims2,sphereActivity,0.7,standard,3,4
grims2,sphereActivity,0.7,standard,4,4
grims2,sphereActivity,0.7,standard,5,4
grims2,sphereActivity,0.7,standard,6,4
grims2,sphereActivity,0.7,standard,7,4
grims2,sphereActivity,0.7,standard,8,5
grims2,sphereActivity,0.7,standard,9,4
grims2,sphereActivity,0.7,standard,10,4
pedro,sphereActivity,0.7,standard,1,2
pedro,sphereActivity,0.7,standard,3,3
pedro,sphereActivity,0.7,standard,4,3
xxx,sphereActivity,0.7,standard,1,6
xxx,sphereActivity,0.7,standard,2,4
xxx,sphereActivity,0.7,standard,3,6
xxx,sphereActivity,0.7,standard,4,8
xxx,sphereActivity,0.7,standard,5,3
xxx,sphereActivity,0.7,standard,6,6
slasto,sphereActivity,0.7,standard,2,7
slasto,sphereActivity,0.7,standard,3,9
slasto,sphereActivity,0.7,standard,4,7
slasto,sphereActivity,0.7,standard,6,8
slasto,sphereActivity,0.7,standard,7,7
slasto,sphereActivity,0.7,standard,8,4
minestra,sphereActivity,0.7,standard,1,3
minestra,sphereActivity,0.7,standard,2,2
minestra,sphereActivity,0.7,standard,3,3
minestra,sphereActivity,0.7,standard,4,4
minestra,sphereActivity,0.7,standard,5,3
minestra,sphereActivity,0.7,standard,6,4
dan,sphereActivity,0.7,standard,1,5
dan,sphereActivity,0.7,standard,2,5
dan,sphereActivity,0.7,standard,3,10
dan,sphereActivity,0.7,standard,4,3
dan,sphereActivity,0.7,standard,5,14
pabluccio,sphereActivity,0.7,standard,1,11
pabluccio,sphereActivity,0.7,standard,2,9
pabluccio,sphereActivity,0.7,standard,3,6
pabluccio,sphereActivity,0.7,standard,4,9
SADAX,sphereActivity,0.7,standard,1,4
SADAX,sphereActivity,0.7,standard,2,2
SADAX,sphereActivity,0.7,standard,3,5
grims,sphereActivity,0.7,standard,1,7
grims,sphereActivity,0.7,standard,2,4
grims,sphereActivity,0.7,standard,3,5
grims,sphereActivity,0.7,standard,4,5
grims,sphereActivity,0.7,standard,5,3
grims,sphereActivity,0.7,standard,6,4
Pa0l0l0,sphereActivity,0.7,standard,1,2
Pa0l0l0,sphereActivity,0.7,standard,2,4
Pa0l0l0,sphereActivity,0.7,standard,3,4
Pa0l0l0,sphereActivity,0.7,standard,4,5
Pa0l0l0,sphereActivity,0.7,standard,5,1
Pa0l0l0,sphereActivity,0.7,standard,6,4
peppe,sphereActivity,0.7,standard,1,8
peppe,sphereActivity,0.7,standard,2,7
peppe,sphereActivity,0.7,standard,3,9
bigw,sphereActivity,0.7,standard,1,3
bigw,sphereActivity,0.7,standard,2,7
bigw,sphereActivity,0.7,standard,3,6
bigw,sphereActivity,0.7,standard,4,4
bigw,sphereActivity,0.7,standard,5,3
bigw,sphereActivity,0.7,standard,7,6
qwe,sphereActivity,0.7,standard,1,4
qwe,sphereActivity,0.7,standard,2,8
qwe,sphereActivity,0.7,standard,3,7
qwe,sphereActivity,0.7,standard,4,6
qwe,sphereActivity,0.7,standard,6,8
ocran,sphereActivity,0.7,standard,1,4
ocran,sphereActivity,0.7,standard,2,3
ocran,sphereActivity,0.7,standard,3,9
