Username,Activity,Threshold,Scaler,LogNumber,NumberOfSegments
grims2,trashActivity,0.6,standard,1,5
grims2,trashActivity,0.6,standard,2,18
grims2,trashActivity,0.6,standard,3,6
pedro,trashActivity,0.6,standard,1,6
pedro,trashActivity,0.6,standard,2,12
pedro,trashActivity,0.6,standard,3,13
xxx,trashActivity,0.6,standard,1,13
xxx,trashActivity,0.6,standard,2,12
xxx,trashActivity,0.6,standard,3,17
slasto,trashActivity,0.6,standard,1,5
slasto,trashActivity,0.6,standard,2,12
minestra,trashActivity,0.6,standard,1,5
minestra,trashActivity,0.6,standard,2,3
minestra,trashActivity,0.6,standard,3,14
dan,trashActivity,0.6,standard,1,6
dan,trashActivity,0.6,standard,2,11
dan,trashActivity,0.6,standard,3,6
pabluccio,trashActivity,0.6,standard,1,6
pabluccio,trashActivity,0.6,standard,2,23
pabluccio,trashActivity,0.6,standard,3,18
SADAX,trashActivity,0.6,standard,1,10
SADAX,trashActivity,0.6,standard,2,12
SADAX,trashActivity,0.6,standard,3,8
grims,trashActivity,0.6,standard,1,11
grims,trashActivity,0.6,standard,2,15
grims,trashActivity,0.6,standard,3,4
Pa0l0l0,trashActivity,0.6,standard,1,7
Pa0l0l0,trashActivity,0.6,standard,2,13
Pa0l0l0,trashActivity,0.6,standard,3,21
peppe,trashActivity,0.6,standard,1,3
peppe,trashActivity,0.6,standard,2,7
peppe,trashActivity,0.6,standard,3,3
bigw,trashActivity,0.6,standard,1,4
bigw,trashActivity,0.6,standard,3,12
qwe,trashActivity,0.6,standard,2,27
ocran,trashActivity,0.6,standard,2,8
ocran,trashActivity,0.6,standard,3,31
