Username,Activity,Threshold,Scaler,LogNumber,NumberOfSegments
pedro,ladderActivity,0.5,quantile,1,1
pedro,ladderActivity,0.5,quantile,2,1
pedro,ladderActivity,0.5,quantile,3,1
xxx,ladderActivity,0.5,quantile,1,1
xxx,ladderActivity,0.5,quantile,2,1
xxx,ladderActivity,0.5,quantile,3,1
slasto,ladderActivity,0.5,quantile,2,1
slasto,ladderActivity,0.5,quantile,3,1
slasto,ladderActivity,0.5,quantile,5,1
minestra,ladderActivity,0.5,quantile,1,1
minestra,ladderActivity,0.5,quantile,2,1
minestra,ladderActivity,0.5,quantile,3,1
dan,ladderActivity,0.5,quantile,1,1
dan,ladderActivity,0.5,quantile,2,1
dan,ladderActivity,0.5,quantile,3,1
pabluccio,ladderActivity,0.5,quantile,1,1
pabluccio,ladderActivity,0.5,quantile,2,1
pabluccio,ladderActivity,0.5,quantile,3,1
SADAX,ladderActivity,0.5,quantile,1,1
SADAX,ladderActivity,0.5,quantile,2,1
SADAX,ladderActivity,0.5,quantile,3,1
Pa0l0l0,ladderActivity,0.5,quantile,1,1
Pa0l0l0,ladderActivity,0.5,quantile,2,1
Pa0l0l0,ladderActivity,0.5,quantile,3,1
Pa0l0l0,ladderActivity,0.5,quantile,4,1
Pa0l0l0,ladderActivity,0.5,quantile,5,1
peppe,ladderActivity,0.5,quantile,1,1
peppe,ladderActivity,0.5,quantile,2,1
peppe,ladderActivity,0.5,quantile,3,1
bigw,ladderActivity,0.5,quantile,1,1
bigw,ladderActivity,0.5,quantile,3,1
bigw,ladderActivity,0.5,quantile,4,1
qwe,ladderActivity,0.5,quantile,2,1
qwe,ladderActivity,0.5,quantile,3,1
qwe,ladderActivity,0.5,quantile,5,1
ocran,ladderActivity,0.5,quantile,1,1
ocran,ladderActivity,0.5,quantile,2,1
ocran,ladderActivity,0.5,quantile,3,3
