Username,Activity,Threshold,Scaler,LogNumber,NumberOfSegments
pedro,ladderActivity,0.5,robust,1,7
pedro,ladderActivity,0.5,robust,2,4
pedro,ladderActivity,0.5,robust,3,8
xxx,ladderActivity,0.5,robust,1,3
xxx,ladderActivity,0.5,robust,2,4
xxx,ladderActivity,0.5,robust,3,4
slasto,ladderActivity,0.5,robust,2,19
slasto,ladderActivity,0.5,robust,3,2
slasto,ladderActivity,0.5,robust,5,9
minestra,ladderActivity,0.5,robust,1,6
minestra,ladderActivity,0.5,robust,2,9
minestra,ladderActivity,0.5,robust,3,10
dan,ladderActivity,0.5,robust,1,28
dan,ladderActivity,0.5,robust,2,5
dan,ladderActivity,0.5,robust,3,8
pabluccio,ladderActivity,0.5,robust,1,2
pabluccio,ladderActivity,0.5,robust,2,7
pabluccio,ladderActivity,0.5,robust,3,4
SADAX,ladderActivity,0.5,robust,1,1
SADAX,ladderActivity,0.5,robust,2,9
SADAX,ladderActivity,0.5,robust,3,11
Pa0l0l0,ladderActivity,0.5,robust,1,3
Pa0l0l0,ladderActivity,0.5,robust,2,27
Pa0l0l0,ladderActivity,0.5,robust,3,9
Pa0l0l0,ladderActivity,0.5,robust,4,1
Pa0l0l0,ladderActivity,0.5,robust,5,9
peppe,ladderActivity,0.5,robust,1,11
peppe,ladderActivity,0.5,robust,2,3
peppe,ladderActivity,0.5,robust,3,6
bigw,ladderActivity,0.5,robust,1,1
bigw,ladderActivity,0.5,robust,3,1
bigw,ladderActivity,0.5,robust,4,7
qwe,ladderActivity,0.5,robust,2,1
qwe,ladderActivity,0.5,robust,3,3
qwe,ladderActivity,0.5,robust,5,1
ocran,ladderActivity,0.5,robust,1,2
ocran,ladderActivity,0.5,robust,2,4
ocran,ladderActivity,0.5,robust,3,7
