Username,Activity,Threshold,Scaler,LogNumber,NumberOfSegments
pedro,ladderActivity,0.5,standard,1,11
pedro,ladderActivity,0.5,standard,2,6
pedro,ladderActivity,0.5,standard,3,5
xxx,ladderActivity,0.5,standard,1,9
xxx,ladderActivity,0.5,standard,2,9
xxx,ladderActivity,0.5,standard,3,11
slasto,ladderActivity,0.5,standard,2,18
slasto,ladderActivity,0.5,standard,3,13
slasto,ladderActivity,0.5,standard,5,9
minestra,ladderActivity,0.5,standard,1,17
minestra,ladderActivity,0.5,standard,2,5
minestra,ladderActivity,0.5,standard,3,5
dan,ladderActivity,0.5,standard,1,13
dan,ladderActivity,0.5,standard,2,24
dan,ladderActivity,0.5,standard,3,23
pabluccio,ladderActivity,0.5,standard,1,16
pabluccio,ladderActivity,0.5,standard,2,21
pabluccio,ladderActivity,0.5,standard,3,17
SADAX,ladderActivity,0.5,standard,1,17
SADAX,ladderActivity,0.5,standard,2,16
SADAX,ladderActivity,0.5,standard,3,14
Pa0l0l0,ladderActivity,0.5,standard,1,3
Pa0l0l0,ladderActivity,0.5,standard,2,13
Pa0l0l0,ladderActivity,0.5,standard,3,15
Pa0l0l0,ladderActivity,0.5,standard,4,1
Pa0l0l0,ladderActivity,0.5,standard,5,13
peppe,ladderActivity,0.5,standard,1,20
peppe,ladderActivity,0.5,standard,2,11
peppe,ladderActivity,0.5,standard,3,14
bigw,ladderActivity,0.5,standard,1,3
bigw,ladderActivity,0.5,standard,3,12
bigw,ladderActivity,0.5,standard,4,11
qwe,ladderActivity,0.5,standard,2,12
qwe,ladderActivity,0.5,standard,3,22
qwe,ladderActivity,0.5,standard,5,16
ocran,ladderActivity,0.5,standard,1,3
ocran,ladderActivity,0.5,standard,2,3
ocran,ladderActivity,0.5,standard,3,8
