Username,Activity,Threshold,Scaler,LogNumber,NumberOfSegments
pedro,sphereActivity,0.7,minmax,1,3
pedro,sphereActivity,0.7,minmax,3,1
pedro,sphereActivity,0.7,minmax,4,4
dan,sphereActivity,0.7,minmax,1,1
dan,sphereActivity,0.7,minmax,2,2
dan,sphereActivity,0.7,minmax,3,1
dan,sphereActivity,0.7,minmax,4,1
dan,sphereActivity,0.7,minmax,5,1
peppe,sphereActivity,0.7,minmax,1,1
peppe,sphereActivity,0.7,minmax,2,2
peppe,sphereActivity,0.7,minmax,3,2
bigw,sphereActivity,0.7,minmax,1,2
bigw,sphereActivity,0.7,minmax,2,1
bigw,sphereActivity,0.7,minmax,3,1
bigw,sphereActivity,0.7,minmax,4,1
bigw,sphereActivity,0.7,minmax,5,1
bigw,sphereActivity,0.7,minmax,7,1
qwe,sphereActivity,0.7,minmax,1,1
qwe,sphereActivity,0.7,minmax,2,5
qwe,sphereActivity,0.7,minmax,3,1
qwe,sphereActivity,0.7,minmax,4,2
qwe,sphereActivity,0.7,minmax,6,1
