Username,Activity,Threshold,Scaler,LogNumber,NumberOfSegments
pedro,sphereActivity,0.3,quantile,1,2
pedro,sphereActivity,0.3,quantile,3,1
pedro,sphereActivity,0.3,quantile,4,4
xxx,sphereActivity,0.3,quantile,1,1
xxx,sphereActivity,0.3,quantile,2,3
xxx,sphereActivity,0.3,quantile,3,4
xxx,sphereActivity,0.3,quantile,4,4
xxx,sphereActivity,0.3,quantile,5,3
xxx,sphereActivity,0.3,quantile,6,4
slasto,sphereActivity,0.3,quantile,2,3
slasto,sphereActivity,0.3,quantile,3,7
slasto,sphereActivity,0.3,quantile,4,2
slasto,sphereActivity,0.3,quantile,6,2
slasto,sphereActivity,0.3,quantile,7,4
slasto,sphereActivity,0.3,quantile,8,3
minestra,sphereActivity,0.3,quantile,1,3
minestra,sphereActivity,0.3,quantile,2,3
minestra,sphereActivity,0.3,quantile,3,5
minestra,sphereActivity,0.3,quantile,4,4
minestra,sphereActivity,0.3,quantile,5,1
minestra,sphereActivity,0.3,quantile,6,2
dan,sphereActivity,0.3,quantile,1,2
dan,sphereActivity,0.3,quantile,2,2
dan,sphereActivity,0.3,quantile,3,1
dan,sphereActivity,0.3,quantile,4,3
dan,sphereActivity,0.3,quantile,5,4
pabluccio,sphereActivity,0.3,quantile,1,2
pabluccio,sphereActivity,0.3,quantile,2,2
pabluccio,sphereActivity,0.3,quantile,3,2
pabluccio,sphereActivity,0.3,quantile,4,3
SADAX,sphereActivity,0.3,quantile,1,4
SADAX,sphereActivity,0.3,quantile,2,4
SADAX,sphereActivity,0.3,quantile,3,2
Pa0l0l0,sphereActivity,0.3,quantile,1,3
Pa0l0l0,sphereActivity,0.3,quantile,2,2
Pa0l0l0,sphereActivity,0.3,quantile,3,3
Pa0l0l0,sphereActivity,0.3,quantile,4,4
Pa0l0l0,sphereActivity,0.3,quantile,5,4
Pa0l0l0,sphereActivity,0.3,quantile,6,2
peppe,sphereActivity,0.3,quantile,1,5
peppe,sphereActivity,0.3,quantile,2,4
peppe,sphereActivity,0.3,quantile,3,4
bigw,sphereActivity,0.3,quantile,1,1
bigw,sphereActivity,0.3,quantile,2,4
bigw,sphereActivity,0.3,quantile,3,2
bigw,sphereActivity,0.3,quantile,4,1
bigw,sphereActivity,0.3,quantile,5,2
bigw,sphereActivity,0.3,quantile,7,2
qwe,sphereActivity,0.3,quantile,1,5
qwe,sphereActivity,0.3,quantile,2,7
qwe,sphereActivity,0.3,quantile,3,1
qwe,sphereActivity,0.3,quantile,4,6
qwe,sphereActivity,0.3,quantile,6,1
ocran,sphereActivity,0.3,quantile,1,2
ocran,sphereActivity,0.3,quantile,2,4
ocran,sphereActivity,0.3,quantile,3,3
