Username,Activity,Threshold,Scaler,LogNumber,NumberOfSegments
pedro,sphereActivity,0.5,robust,1,4
pedro,sphereActivity,0.5,robust,3,3
pedro,sphereActivity,0.5,robust,4,4
xxx,sphereActivity,0.5,robust,1,5
xxx,sphereActivity,0.5,robust,2,4
xxx,sphereActivity,0.5,robust,3,2
xxx,sphereActivity,0.5,robust,4,8
xxx,sphereActivity,0.5,robust,5,2
xxx,sphereActivity,0.5,robust,6,5
slasto,sphereActivity,0.5,robust,2,4
slasto,sphereActivity,0.5,robust,3,3
slasto,sphereActivity,0.5,robust,4,7
slasto,sphereActivity,0.5,robust,6,7
slasto,sphereActivity,0.5,robust,7,8
slasto,sphereActivity,0.5,robust,8,7
minestra,sphereActivity,0.5,robust,1,3
minestra,sphereActivity,0.5,robust,2,1
minestra,sphereActivity,0.5,robust,3,2
minestra,sphereActivity,0.5,robust,4,5
minestra,sphereActivity,0.5,robust,5,1
minestra,sphereActivity,0.5,robust,6,7
dan,sphereActivity,0.5,robust,1,2
dan,sphereActivity,0.5,robust,2,6
dan,sphereActivity,0.5,robust,3,3
dan,sphereActivity,0.5,robust,4,2
dan,sphereActivity,0.5,robust,5,8
pabluccio,sphereActivity,0.5,robust,1,1
pabluccio,sphereActivity,0.5,robust,2,5
pabluccio,sphereActivity,0.5,robust,3,9
pabluccio,sphereActivity,0.5,robust,4,6
SADAX,sphereActivity,0.5,robust,1,4
SADAX,sphereActivity,0.5,robust,2,5
SADAX,sphereActivity,0.5,robust,3,4
Pa0l0l0,sphereActivity,0.5,robust,1,4
Pa0l0l0,sphereActivity,0.5,robust,2,4
Pa0l0l0,sphereActivity,0.5,robust,3,4
Pa0l0l0,sphereActivity,0.5,robust,4,5
Pa0l0l0,sphereActivity,0.5,robust,5,3
Pa0l0l0,sphereActivity,0.5,robust,6,5
peppe,sphereActivity,0.5,robust,1,2
peppe,sphereActivity,0.5,robust,2,1
peppe,sphereActivity,0.5,robust,3,1
bigw,sphereActivity,0.5,robust,1,8
bigw,sphereActivity,0.5,robust,2,3
bigw,sphereActivity,0.5,robust,3,3
bigw,sphereActivity,0.5,robust,4,3
bigw,sphereActivity,0.5,robust,5,2
bigw,sphereActivity,0.5,robust,7,5
qwe,sphereActivity,0.5,robust,1,1
qwe,sphereActivity,0.5,robust,2,7
qwe,sphereActivity,0.5,robust,3,4
qwe,sphereActivity,0.5,robust,4,6
qwe,sphereActivity,0.5,robust,6,8
ocran,sphereActivity,0.5,robust,1,5
ocran,sphereActivity,0.5,robust,2,4
ocran,sphereActivity,0.5,robust,3,6
