Username,Activity,Threshold,Scaler,LogNumber,NumberOfSegments
xxx,trashActivity,0.7,minmax,1,2
xxx,trashActivity,0.7,minmax,2,1
xxx,trashActivity,0.7,minmax,3,3
slasto,trashActivity,0.7,minmax,1,5
slasto,trashActivity,0.7,minmax,2,2
minestra,trashActivity,0.7,minmax,1,1
minestra,trashActivity,0.7,minmax,2,1
minestra,trashActivity,0.7,minmax,3,1
pabluccio,trashActivity,0.7,minmax,1,1
pabluccio,trashActivity,0.7,minmax,2,1
pabluccio,trashActivity,0.7,minmax,3,1
SADAX,trashActivity,0.7,minmax,1,3
SADAX,trashActivity,0.7,minmax,2,1
SADAX,trashActivity,0.7,minmax,3,4
Pa0l0l0,trashActivity,0.7,minmax,1,1
Pa0l0l0,trashActivity,0.7,minmax,2,1
Pa0l0l0,trashActivity,0.7,minmax,3,1
ocran,trashActivity,0.7,minmax,2,1
ocran,trashActivity,0.7,minmax,3,3
