Username,Activity,Threshold,Scaler,LogNumber,NumberOfSegments
pedro,trashActivity,0.3,quantile,1,1
pedro,trashActivity,0.3,quantile,2,3
pedro,trashActivity,0.3,quantile,3,10
xxx,trashActivity,0.3,quantile,1,3
xxx,trashActivity,0.3,quantile,2,2
xxx,trashActivity,0.3,quantile,3,4
slasto,trashActivity,0.3,quantile,1,5
slasto,trashActivity,0.3,quantile,2,3
minestra,trashActivity,0.3,quantile,1,3
minestra,trashActivity,0.3,quantile,2,5
minestra,trashActivity,0.3,quantile,3,5
dan,trashActivity,0.3,quantile,1,4
dan,trashActivity,0.3,quantile,2,2
dan,trashActivity,0.3,quantile,3,1
pabluccio,trashActivity,0.3,quantile,1,3
pabluccio,trashActivity,0.3,quantile,2,3
pabluccio,trashActivity,0.3,quantile,3,1
SADAX,trashActivity,0.3,quantile,1,5
SADAX,trashActivity,0.3,quantile,2,1
SADAX,trashActivity,0.3,quantile,3,5
Pa0l0l0,trashActivity,0.3,quantile,1,4
Pa0l0l0,trashActivity,0.3,quantile,2,1
Pa0l0l0,trashActivity,0.3,quantile,3,1
peppe,trashActivity,0.3,quantile,1,4
peppe,trashActivity,0.3,quantile,2,5
peppe,trashActivity,0.3,quantile,3,6
bigw,trashActivity,0.3,quantile,1,5
bigw,trashActivity,0.3,quantile,3,7
qwe,trashActivity,0.3,quantile,2,6
ocran,trashActivity,0.3,quantile,2,1
ocran,trashActivity,0.3,quantile,3,3
