Username,Activity,Threshold,Scaler,LogNumber,NumberOfSegments
pedro,trashActivity,0.6,robust,1,5
pedro,trashActivity,0.6,robust,2,4
pedro,trashActivity,0.6,robust,3,5
xxx,trashActivity,0.6,robust,1,7
xxx,trashActivity,0.6,robust,2,2
xxx,trashActivity,0.6,robust,3,2
slasto,trashActivity,0.6,robust,1,3
slasto,trashActivity,0.6,robust,2,1
minestra,trashActivity,0.6,robust,1,1
minestra,trashActivity,0.6,robust,2,1
minestra,trashActivity,0.6,robust,3,10
dan,trashActivity,0.6,robust,1,6
dan,trashActivity,0.6,robust,2,1
dan,trashActivity,0.6,robust,3,6
pabluccio,trashActivity,0.6,robust,1,7
pabluccio,trashActivity,0.6,robust,2,13
pabluccio,trashActivity,0.6,robust,3,11
SADAX,trashActivity,0.6,robust,1,4
SADAX,trashActivity,0.6,robust,2,7
SADAX,trashActivity,0.6,robust,3,4
Pa0l0l0,trashActivity,0.6,robust,1,7
Pa0l0l0,trashActivity,0.6,robust,2,2
Pa0l0l0,trashActivity,0.6,robust,3,8
peppe,trashActivity,0.6,robust,1,3
peppe,trashActivity,0.6,robust,2,3
peppe,trashActivity,0.6,robust,3,2
bigw,trashActivity,0.6,robust,1,2
bigw,trashActivity,0.6,robust,3,2
qwe,trashActivity,0.6,robust,2,4
ocran,trashActivity,0.6,robust,2,6
ocran,trashActivity,0.6,robust,3,4
