Username,Activity,Threshold,Scaler,LogNumber,NumberOfSegments
pedro,trashActivity,0.65,standard,1,7
pedro,trashActivity,0.65,standard,2,6
pedro,trashActivity,0.65,standard,3,5
xxx,trashActivity,0.65,standard,1,5
xxx,trashActivity,0.65,standard,2,8
xxx,trashActivity,0.65,standard,3,9
slasto,trashActivity,0.65,standard,1,3
slasto,trashActivity,0.65,standard,2,9
minestra,trashActivity,0.65,standard,1,5
minestra,trashActivity,0.65,standard,2,9
minestra,trashActivity,0.65,standard,3,5
dan,trashActivity,0.65,standard,1,4
dan,trashActivity,0.65,standard,2,3
dan,trashActivity,0.65,standard,3,2
pabluccio,trashActivity,0.65,standard,1,4
pabluccio,trashActivity,0.65,standard,2,10
pabluccio,trashActivity,0.65,standard,3,13
SADAX,trashActivity,0.65,standard,1,7
SADAX,trashActivity,0.65,standard,2,6
SADAX,trashActivity,0.65,standard,3,6
Pa0l0l0,trashActivity,0.65,standard,1,5
Pa0l0l0,trashActivity,0.65,standard,2,6
Pa0l0l0,trashActivity,0.65,standard,3,9
peppe,trashActivity,0.65,standard,1,3
peppe,trashActivity,0.65,standard,2,6
peppe,trashActivity,0.65,standard,3,2
bigw,trashActivity,0.65,standard,1,16
bigw,trashActivity,0.65,standard,3,11
qwe,trashActivity,0.65,standard,2,10
ocran,trashActivity,0.65,standard,2,7
ocran,trashActivity,0.65,standard,3,9
