State,Initial_Probability
"(0, 0.0003)",0.0
"(0, 0.0424)",0.0
"(0, 0.1233)",0.0
"(0, -0.0009)",0.0
"(0, -0.0006)",0.0
"(0, -0.0004)",0.0
"(1, 0.0)",0.0
"(1, 0.005)",0.0
"(1, 0.0441)",0.0
"(1, -0.0048)",0.0
"(1, -0.0015)",0.0
"(1, -0.0002)",0.0
"(2, 0.0001)",0.0
"(2, 0.0017)",0.0
"(2, 0.003)",0.0
"(3, 0.0001)",0.0
"(3, 0.0007)",0.0
"(3, 0.0015)",0.0
"(4, 0.0007)",0.022727272727272728
"(4, 0.0047)",0.09090909090909091
"(4, 0.0076)",0.022727272727272728
"(4, -0.0021)",0.0
"(4, -0.0011)",0.0
"(4, -0.0001)",0.0
"(5, 0.0017)",0.022727272727272728
"(5, 0.0022)",0.0
"(5, 0.0028)",0.022727272727272728
"(5, -0.0005)",0.0
"(5, -0.0003)",0.0
"(5, -0.0001)",0.0
"(6, 0.0)",0.0
"(6, 0.0082)",0.0
"(6, 0.1647)",0.0
"(6, -0.0745)",0.0
"(6, -0.009)",0.0
"(6, -0.0001)",0.0
"(7, 0.001)",0.0
"(7, 0.0036)",0.0
"(7, 0.0105)",0.0
"(8, 0.0003)",0.022727272727272728
"(8, 0.0013)",0.022727272727272728
"(8, 0.0026)",0.022727272727272728
"(8, -0.0007)",0.0
"(8, -0.0005)",0.0
"(8, -0.0002)",0.0
"(9, 0.0019)",0.0
"(9, 0.0533)",0.0
"(9, 0.1085)",0.0
"(10, 0.0)",0.06818181818181818
"(10, 0.0021)",0.13636363636363635
"(10, 0.0096)",0.0
"(10, -0.0093)",0.0
"(10, -0.0013)",0.0
"(10, -0.0)",0.0
"(11, 0.0001)",0.0
"(11, 0.001)",0.0
"(11, 0.0019)",0.0
"(11, -0.0295)",0.0
"(12, 0.0002)",0.0
"(12, 0.0008)",0.045454545454545456
"(12, 0.0023)",0.0
"(12, -0.0005)",0.0
"(12, -0.0003)",0.0
"(12, -0.0)",0.022727272727272728
"(13, 0.0004)",0.0
"(13, 0.007)",0.0
"(13, 0.0257)",0.0
"(14, 0.0)",0.0
"(14, 0.0002)",0.0
"(14, 0.0009)",0.0
"(15, 0.002)",0.0
"(15, 0.057)",0.0
"(15, 0.2094)",0.0
"(15, -0.0019)",0.0
"(16, 0.0006)",0.045454545454545456
"(16, 0.0018)",0.022727272727272728
"(16, 0.0033)",0.045454545454545456
"(16, -0.0004)",0.0
"(16, -0.0003)",0.0
"(16, -0.0002)",0.0
"(17, 0.0)",0.06818181818181818
"(17, 0.0026)",0.0
"(17, 0.0102)",0.0
"(17, -0.001)",0.0
"(17, -0.0004)",0.0
"(17, -0.0001)",0.0
"(18, 0.0)",0.0
"(18, 0.0003)",0.0
"(18, 0.0008)",0.0
"(-1, None)",0.29545454545454547
