State,Initial_Probability
"(0, 0.0)",0.05555555555555555
"(0, 0.0039)",0.2916666666666667
"(0, 0.0324)",0.0
"(0, -0.0907)",0.0
"(0, -0.0056)",0.013888888888888888
"(0, -0.0)",0.013888888888888888
"(1, 0.0002)",0.027777777777777776
"(1, 0.0034)",0.013888888888888888
"(1, 0.0175)",0.0
"(1, -0.0219)",0.0
"(1, -0.0027)",0.08333333333333333
"(1, -0.0)",0.0
"(2, 0.0003)",0.0
"(2, 0.0225)",0.0
"(2, 0.2409)",0.0
"(3, 0.0)",0.0
"(3, 0.0077)",0.0
"(3, 0.0399)",0.0
"(3, -0.0113)",0.0
"(3, -0.004)",0.0
"(3, -0.0)",0.0
"(4, 0.0001)",0.027777777777777776
"(4, 0.0072)",0.013888888888888888
"(4, 0.0339)",0.0
"(4, -0.0028)",0.0
"(4, -0.0015)",0.0
"(4, -0.0009)",0.0
"(-1, None)",0.4583333333333333
