,"(0, 0.0004)","(0, 0.0021)","(0, -0.0025)","(0, -0.0001)","(1, 0.0006)","(1, 0.003)","(1, -0.0015)","(1, -0.0002)","(2, 0.001)","(2, 0.0013)","(2, -0.0003)","(2, -0.0002)","(3, 0.0)","(3, 0.0001)","(3, -0.0024)","(4, 0.0012)","(4, -0.0013)","(4, -0.0013)","(5, 0.0011)","(5, 0.0015)","(-1, None)"
"(0, 0.0004)",10,5,2,4,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,9
"(0, 0.0021)",5,4,4,4,4,3,1,5,0,0,0,0,1,1,1,0,0,0,0,0,7
"(0, -0.0025)",3,5,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"(0, -0.0001)",2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"(1, 0.0006)",7,6,1,0,3,3,1,2,0,0,0,0,0,0,0,0,0,0,1,0,5
"(1, 0.003)",10,10,3,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,8
"(1, -0.0015)",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(1, -0.0002)",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(2, 0.001)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(2, 0.0013)",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(2, -0.0003)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(2, -0.0002)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(3, 0.0)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(3, 0.0001)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(3, -0.0024)",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(4, 0.0012)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"(4, -0.0013)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"(4, -0.0013)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(5, 0.0011)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(5, 0.0015)",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"(-1, None)",9,4,0,4,4,0,3,4,0,0,0,0,0,0,0,1,0,0,0,0,7
