,"(0, 0.0002)","(0, 0.001)","(0, 0.0026)","(0, -0.0025)","(0, -0.0007)","(0, -0.0)","(1, 0.0)","(1, 0.0027)","(1, 0.0118)","(1, -0.0055)","(1, -0.0013)","(1, -0.0)","(2, 0.0003)","(2, 0.0007)","(2, 0.0012)","(2, -0.0025)","(2, -0.001)","(2, -0.0001)","(-1, None)"
"(0, 0.0002)",0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1
"(0, 0.001)",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"(0, 0.0026)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(0, -0.0025)",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"(0, -0.0007)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"(0, -0.0)",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"(1, 0.0)",2,1,0,0,0,0,2,0,0,0,1,2,1,0,0,0,0,1,7
"(1, 0.0027)",0,4,2,0,0,0,2,11,1,0,1,1,0,0,1,0,0,0,24
"(1, 0.0118)",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"(1, -0.0055)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(1, -0.0013)",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"(1, -0.0)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"(2, 0.0003)",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"(2, 0.0007)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(2, 0.0012)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(2, -0.0025)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"(2, -0.001)",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"(2, -0.0001)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(-1, None)",3,1,1,0,1,1,6,2,2,1,7,4,0,1,0,0,1,1,45
