,"(0, 0.0009)","(0, 0.0034)","(0, -0.002)","(0, -0.0003)","(1, 0.0013)","(1, 0.0047)","(1, -0.0032)","(1, -0.0006)","(2, 0.0024)","(2, 0.0105)","(3, 0.0007)","(3, 0.0032)","(3, -0.0013)","(3, -0.0002)","(4, 0.0007)","(4, 0.0016)","(-1, None)"
"(0, 0.0009)",3,2,4,0,4,2,2,3,0,0,0,0,0,0,2,0,15
"(0, 0.0034)",6,1,4,2,0,2,1,2,1,0,0,0,0,0,0,1,12
"(0, -0.002)",3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
"(0, -0.0003)",1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
"(1, 0.0013)",1,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,18
"(1, 0.0047)",2,11,3,0,1,0,0,0,0,0,0,0,0,0,0,0,27
"(1, -0.0032)",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"(1, -0.0006)",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"(2, 0.0024)",0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,4
"(2, 0.0105)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"(3, 0.0007)",0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,4
"(3, 0.0032)",0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4
"(3, -0.0013)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(3, -0.0002)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(4, 0.0007)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"(4, 0.0016)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
"(-1, None)",25,13,5,8,8,7,5,9,5,2,1,3,0,2,1,2,147
