,"(0, 0.0008)","(0, 0.0031)","(0, -0.0018)","(0, -0.0003)","(1, 0.0009)","(1, 0.0046)","(1, -0.0029)","(1, -0.0006)","(2, 0.0023)","(2, 0.0077)","(3, 0.0012)","(3, 0.0026)","(3, -0.0006)","(-1, None)"
"(0, 0.0008)",6,4,4,0,3,1,2,3,1,0,2,0,1,19
"(0, 0.0031)",7,3,3,2,2,0,1,2,1,0,0,2,0,17
"(0, -0.0018)",1,1,0,0,0,0,0,0,0,1,0,0,0,3
"(0, -0.0003)",1,2,0,2,0,0,0,0,0,0,0,0,0,2
"(1, 0.0009)",2,3,0,0,4,4,1,1,2,0,1,0,0,15
"(1, 0.0046)",4,13,3,0,4,0,0,0,0,0,0,0,0,27
"(1, -0.0029)",0,0,0,0,0,1,0,0,0,0,0,0,0,1
"(1, -0.0006)",0,0,0,0,0,0,0,0,0,0,0,0,0,3
"(2, 0.0023)",0,0,0,1,0,0,1,0,0,0,0,0,0,6
"(2, 0.0077)",1,0,0,0,0,0,0,0,0,0,0,0,0,3
"(3, 0.0012)",1,0,0,0,0,0,0,0,0,0,0,0,0,3
"(3, 0.0026)",0,0,0,0,0,0,0,0,0,0,0,0,0,3
"(3, -0.0006)",0,0,0,0,0,0,0,0,0,0,1,0,0,0
"(-1, None)",27,13,5,8,12,10,5,14,5,3,0,0,0,116
