,"(0, 0.0009)","(0, 0.0036)","(0, -0.0015)","(0, -0.0003)","(1, 0.0009)","(1, 0.0045)","(1, -0.0022)","(1, -0.0002)","(2, 0.0014)","(2, 0.0025)","(2, -0.0004)","(3, 0.0023)","(3, 0.0035)","(4, 0.0005)","(4, 0.0028)","(4, -0.0053)","(4, -0.0035)","(5, 0.0009)","(5, 0.0011)","(-1, None)"
"(0, 0.0009)",5,2,2,2,1,2,0,2,0,0,0,1,0,2,0,0,0,1,0,8
"(0, 0.0036)",5,2,5,2,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,6
"(0, -0.0015)",2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
"(0, -0.0003)",2,2,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"(1, 0.0009)",2,2,0,2,3,2,0,3,0,0,0,0,1,0,0,0,1,0,0,9
"(1, 0.0045)",4,14,1,1,5,2,1,0,2,1,0,0,1,0,0,0,0,0,0,7
"(1, -0.0022)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
"(1, -0.0002)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"(2, 0.0014)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"(2, 0.0025)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"(2, -0.0004)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"(3, 0.0023)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3
"(3, 0.0035)",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"(4, 0.0005)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"(4, 0.0028)",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
"(4, -0.0053)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(4, -0.0035)",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"(5, 0.0009)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"(5, 0.0011)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"(-1, None)",6,4,3,5,11,6,7,4,1,0,1,3,0,1,1,1,0,1,1,48
