,"(0, 0.0001)","(0, 0.0042)","(0, 0.0367)","(0, -0.0025)","(0, -0.0009)","(0, -0.0)","(1, 0.0)","(1, 0.0031)","(1, 0.0113)","(1, -0.0078)","(1, -0.0016)","(1, -0.0)","(2, 0.0006)","(2, 0.0032)","(2, 0.0077)","(3, 0.0005)","(3, 0.0015)","(3, 0.0038)","(3, -0.0025)","(4, 0.0007)","(4, 0.0022)","(4, 0.0071)","(-1, None)"
"(0, 0.0001)",3,2,0,0,2,1,1,2,0,0,0,2,0,1,0,2,0,0,0,1,0,0,9
"(0, 0.0042)",4,2,0,2,2,1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6
"(0, 0.0367)",1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(0, -0.0025)",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(0, -0.0009)",2,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3
"(0, -0.0)",0,1,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"(1, 0.0)",2,1,0,0,1,0,3,1,1,0,0,2,0,1,0,0,0,0,0,0,0,0,5
"(1, 0.0031)",4,12,2,0,1,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14
"(1, 0.0113)",0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"(1, -0.0078)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"(1, -0.0016)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"(1, -0.0)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"(2, 0.0006)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(2, 0.0032)",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4
"(2, 0.0077)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"(3, 0.0005)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"(3, 0.0015)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"(3, 0.0038)",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"(3, -0.0025)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"(4, 0.0007)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"(4, 0.0022)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(4, 0.0071)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"(-1, None)",8,3,1,1,4,5,7,7,2,0,8,2,0,4,0,1,1,0,1,3,0,0,59
