,"(0, 0.0009)","(0, 0.0034)","(0, -0.002)","(0, -0.0003)","(1, 0.0013)","(1, 0.0047)","(1, -0.0032)","(1, -0.0006)","(2, 0.0024)","(2, 0.0105)","(3, 0.0007)","(3, 0.0032)","(3, -0.0013)","(3, -0.0002)","(4, 0.0007)","(4, 0.0016)","(-1, None)"
"(0, 0.0009)",0.08108108108108109,0.05405405405405406,0.10810810810810811,0.0,0.10810810810810811,0.05405405405405406,0.05405405405405406,0.08108108108108109,0.0,0.0,0.0,0.0,0.0,0.0,0.05405405405405406,0.0,0.40540540540540543
"(0, 0.0034)",0.1875,0.03125,0.125,0.0625,0.0,0.0625,0.03125,0.0625,0.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.03125,0.375
"(0, -0.002)",0.42857142857142855,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857
"(0, -0.0003)",0.14285714285714285,0.2857142857142857,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857
"(1, 0.0013)",0.043478260869565216,0.0,0.0,0.0,0.0,0.08695652173913043,0.043478260869565216,0.0,0.0,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.782608695652174
"(1, 0.0047)",0.045454545454545456,0.25,0.06818181818181818,0.0,0.022727272727272728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6136363636363636
"(1, -0.0032)",0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
"(1, -0.0006)",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(2, 0.0024)",0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.5714285714285714
"(2, 0.0105)",0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666
"(3, 0.0007)",0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.5714285714285714
"(3, 0.0032)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.5714285714285714
"(3, -0.0013)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(3, -0.0002)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(4, 0.0007)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"(4, 0.0016)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666
"(-1, None)",0.102880658436214,0.053497942386831275,0.0205761316872428,0.03292181069958848,0.03292181069958848,0.02880658436213992,0.0205761316872428,0.037037037037037035,0.0205761316872428,0.00823045267489712,0.00411522633744856,0.012345679012345678,0.0,0.00823045267489712,0.00411522633744856,0.00823045267489712,0.6049382716049383
