,"(0, 0.0008)","(0, 0.0031)","(0, -0.0018)","(0, -0.0003)","(1, 0.0009)","(1, 0.0046)","(1, -0.0029)","(1, -0.0006)","(2, 0.0023)","(2, 0.0077)","(3, 0.0012)","(3, 0.0026)","(3, -0.0006)","(-1, None)"
"(0, 0.0008)",0.13043478260869565,0.08695652173913043,0.08695652173913043,0.0,0.06521739130434782,0.021739130434782608,0.043478260869565216,0.06521739130434782,0.021739130434782608,0.0,0.043478260869565216,0.0,0.021739130434782608,0.41304347826086957
"(0, 0.0031)",0.175,0.075,0.075,0.05,0.05,0.0,0.025,0.05,0.025,0.0,0.0,0.05,0.0,0.425
"(0, -0.0018)",0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.5
"(0, -0.0003)",0.14285714285714285,0.2857142857142857,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857
"(1, 0.0009)",0.06060606060606061,0.09090909090909091,0.0,0.0,0.12121212121212122,0.12121212121212122,0.030303030303030304,0.030303030303030304,0.06060606060606061,0.0,0.030303030303030304,0.0,0.0,0.45454545454545453
"(1, 0.0046)",0.0784313725490196,0.2549019607843137,0.058823529411764705,0.0,0.0784313725490196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5294117647058824
"(1, -0.0029)",0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
"(1, -0.0006)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"(2, 0.0023)",0.0,0.0,0.0,0.125,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.75
"(2, 0.0077)",0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75
"(3, 0.0012)",0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75
"(3, 0.0026)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"(3, -0.0006)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"(-1, None)",0.12385321100917432,0.05963302752293578,0.022935779816513763,0.03669724770642202,0.05504587155963303,0.045871559633027525,0.022935779816513763,0.06422018348623854,0.022935779816513763,0.013761467889908258,0.0,0.0,0.0,0.5321100917431193
