,"(0, 0.0001)","(0, 0.0042)","(0, 0.0367)","(0, -0.0025)","(0, -0.0009)","(0, -0.0)","(1, 0.0)","(1, 0.0031)","(1, 0.0113)","(1, -0.0078)","(1, -0.0016)","(1, -0.0)","(2, 0.0006)","(2, 0.0032)","(2, 0.0077)","(3, 0.0005)","(3, 0.0015)","(3, 0.0038)","(3, -0.0025)","(4, 0.0007)","(4, 0.0022)","(4, 0.0071)","(-1, None)"
"(0, 0.0001)",0.11538461538461539,0.07692307692307693,0.0,0.0,0.07692307692307693,0.038461538461538464,0.038461538461538464,0.07692307692307693,0.0,0.0,0.0,0.07692307692307693,0.0,0.038461538461538464,0.0,0.07692307692307693,0.0,0.0,0.0,0.038461538461538464,0.0,0.0,0.34615384615384615
"(0, 0.0042)",0.18181818181818182,0.09090909090909091,0.0,0.09090909090909091,0.09090909090909091,0.045454545454545456,0.09090909090909091,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.2727272727272727
"(0, 0.0367)",0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(0, -0.0025)",0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(0, -0.0009)",0.25,0.125,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375
"(0, -0.0)",0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666
"(1, 0.0)",0.11764705882352941,0.058823529411764705,0.0,0.0,0.058823529411764705,0.0,0.17647058823529413,0.058823529411764705,0.058823529411764705,0.0,0.0,0.11764705882352941,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29411764705882354
"(1, 0.0031)",0.10526315789473684,0.3157894736842105,0.05263157894736842,0.0,0.02631578947368421,0.02631578947368421,0.05263157894736842,0.02631578947368421,0.0,0.0,0.0,0.02631578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3684210526315789
"(1, 0.0113)",0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25
"(1, -0.0078)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"(1, -0.0016)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
